mode,AOI,analysis_type,dataset,target_year,history,required_constituent_years,training_support,target_support,complete_block_count,status,reason,RMSE,MAE,Bias,R2,Pearson_r,n
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,primary,2024,R2024-H2,2022;2023,1550,1521,6,ESTIMABLE,,0.0606507706603559,0.04727571549247889,-0.009155601140871421,0.9061619610681241,0.9540965594375308,1521.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,sensitivity,2024,R2024-H2,2022;2023,1336,942,6,ESTIMABLE,,0.06373237107461151,0.04742199617553289,-0.002698866436252107,0.9051752360000913,0.9516486508911779,942.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,primary,2024,R2024-H3,2021;2022;2023,1182,1521,2,ESTIMABLE,,0.059584026583023364,0.04610494076236789,-0.00463315041539052,0.9094338359791714,0.954096559437531,1521.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,sensitivity,2024,R2024-H3,2021;2022;2023,0,942,0,NOT_ESTIMABLE_NO_COMPLETE_BLOCKS,no_complete_blocks,,,,,,
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,primary,2025,R2025-H1,2024,1521,1735,30,ESTIMABLE,,0.06036333920061194,0.04643628868475326,0.01851721413142559,0.8652866953465363,0.9379718196852976,1735.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,sensitivity,2025,R2025-H1,2024,942,1236,22,ESTIMABLE,,0.0712016726374197,0.052001190372940875,0.01367059731605611,0.7705826976795446,0.8844020816239897,1236.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,primary,2025,R2025-H2,2023;2024,1097,1735,6,ESTIMABLE,,0.06229136122061421,0.048331183741156074,0.024997207653105778,0.85654370169073,0.9379718196852976,1735.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,sensitivity,2025,R2025-H2,2023;2024,795,1236,6,ESTIMABLE,,0.07666997978008508,0.055946498154864154,0.029436789942442535,0.7339909120835859,0.8844020816239894,1236.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,primary,2025,R2025-H3,2022;2023;2024,2066,1735,6,ESTIMABLE,,0.058589343207418466,0.04528700034517385,0.013381155985120569,0.8730884241914783,0.9379718196852973,1735.0
exclude_high_aerosol,AOI-02,ROLLING_ORIGIN,sensitivity,2025,R2025-H3,2022;2023;2024,1645,1236,6,ESTIMABLE,,0.07201058541783759,0.05243258237382551,0.016510526330006416,0.7653403277218682,0.8844020816239897,1236.0
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2022,2022,10030,9322,35,ESTIMABLE,,0.03677964098060397,0.027741850141007246,0.0074635677135337685,0.861954340963434,0.9317552096621348,9322.0
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2022,2022,9684,9072,35,ESTIMABLE,,0.0367496215644196,0.027768467004090844,0.008687801526883804,0.8620521196114465,0.9330152349820018,9072.0
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2023,2023,8852,9322,35,ESTIMABLE,,0.044698311799913404,0.03624244392798886,0.025383832364633707,0.7961127704998615,0.9314587026513985,9322.0
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2023,2023,5524,9072,35,ESTIMABLE,,0.04003015395166981,0.03187918370423398,0.01801253317020424,0.8363244495799219,0.9326987455945875,9072.0
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2024,2024,10134,9322,35,ESTIMABLE,,0.03783313456293764,0.029275904775324452,0.011605758503079183,0.8539328911020295,0.9315467673418729,9322.0
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2024,2024,9738,9072,35,ESTIMABLE,,0.03783520167344474,0.02931041992672408,0.0125734314725076,0.8537818126082182,0.9328149865779323,9072.0
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2022_2023,2022;2023,18882,9322,35,ESTIMABLE,,0.03959787148675906,0.031013048484901207,0.015827627468282528,0.8399884003757282,0.9315861157282401,9322.0
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,15208,9072,35,ESTIMABLE,,0.03770992948852759,0.029042145757661366,0.012056801753410534,0.8547484652030832,0.9328804770844794,9072.0
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2023_2024,2023;2024,18986,9322,35,ESTIMABLE,,0.04036082175725066,0.032027633365550506,0.017861925425941595,0.8337629653842307,0.9314929312459389,9322.0
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,15262,9072,35,ESTIMABLE,,0.03855179223358789,0.030175578114093375,0.014535585464233223,0.8481906800166553,0.932769519886466,9072.0
exclude_high_aerosol,AOI-03,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,29016,9322,35,ESTIMABLE,,0.03885535937353348,0.0303184931299491,0.014269369794490519,0.8459329938398575,0.9315690216747432,9322.0
exclude_high_aerosol,AOI-03,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,24946,9072,35,ESTIMABLE,,0.03774838071553826,0.02913308047764846,0.01223842596569159,0.8544521004387141,0.9328552828501586,9072.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,primary,2024,R2024-H1,2023,8852,10134,35,ESTIMABLE,,0.03567524640497709,0.027406379091732123,0.014395165509464436,0.8741899098694935,0.9480505284869295,10134.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,sensitivity,2024,R2024-H1,2023,5524,9738,35,ESTIMABLE,,0.03169443171903694,0.023129988691903,0.005603822274921978,0.9019223007509602,0.9513193696729662,9738.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,primary,2024,R2024-H2,2022;2023,18882,10134,35,ESTIMABLE,,0.032511169253606635,0.023270319414396976,0.004632050485166877,0.8955167462375994,0.9481262666357874,10134.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,sensitivity,2024,R2024-H2,2022;2023,15208,9738,35,ESTIMABLE,,0.031175471612309616,0.02158581000973195,-0.0003042364865459825,0.905107826337023,0.9514169044146116,9738.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,primary,2024,R2024-H3,2021;2022;2023,10433,10134,13,ESTIMABLE,,0.032213690740918316,0.022718178750896226,0.002601125656084819,0.8974200505508467,0.948141971123356,10134.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,sensitivity,2024,R2024-H3,2021;2022;2023,9534,9738,13,ESTIMABLE,,0.031180018075935022,0.02167946343917737,0.0002695337920754559,0.9050801471872396,0.9514095616285972,9738.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,primary,2025,R2025-H1,2024,10134,9322,35,ESTIMABLE,,0.03783313456293764,0.029275904775324452,0.011605758503079183,0.8539328911020295,0.9315467673418729,9322.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,sensitivity,2025,R2025-H1,2024,9738,9072,35,ESTIMABLE,,0.03783520167344474,0.02931041992672408,0.0125734314725076,0.8537818126082182,0.9328149865779323,9072.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,primary,2025,R2025-H2,2023;2024,18986,9322,35,ESTIMABLE,,0.04036082175725066,0.032027633365550506,0.017861925425941595,0.8337629653842307,0.9314929312459389,9322.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,sensitivity,2025,R2025-H2,2023;2024,15262,9072,35,ESTIMABLE,,0.03855179223358789,0.030175578114093375,0.014535585464233223,0.8481906800166553,0.932769519886466,9072.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,primary,2025,R2025-H3,2022;2023;2024,29016,9322,35,ESTIMABLE,,0.03885535937353348,0.0303184931299491,0.014269369794490519,0.8459329938398575,0.9315690216747432,9322.0
exclude_high_aerosol,AOI-03,ROLLING_ORIGIN,sensitivity,2025,R2025-H3,2022;2023;2024,24946,9072,35,ESTIMABLE,,0.03774838071553826,0.02913308047764846,0.01223842596569159,0.8544521004387141,0.9328552828501586,9072.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2022,2022,13159,20017,39,ESTIMABLE,,0.04922975883032955,0.04030136819227294,-0.001051825924206623,0.7405386596973291,0.8607811944412894,20017.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2022,2022,12525,19616,39,ESTIMABLE,,0.05383171376265632,0.041219939314941875,0.015345507984188166,0.6775234466803087,0.8417973337959924,19616.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2023,2023,12841,20017,39,ESTIMABLE,,0.050040270378964705,0.040883138443291736,-0.008832179468883867,0.7319248633892765,0.8607811944412886,20017.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2023,2023,12694,19616,39,ESTIMABLE,,0.051173001452141015,0.038892769373965276,-0.0008842976899208812,0.708590629932683,0.841830802768347,19616.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2024,2024,18920,20017,39,ESTIMABLE,,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2024,2024,17362,19616,39,ESTIMABLE,,0.058885974013810065,0.045806204745804914,-0.02770372712001634,0.614126053119902,0.841797333795992,19616.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2022_2023,2022;2023,26000,20017,39,ESTIMABLE,,0.04947106938086972,0.04052913757545651,-0.005075015756932243,0.7379888113696362,0.8607811944412872,20017.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2023,2022;2023,25219,19616,39,ESTIMABLE,,0.05192065735832004,0.03975559224073748,0.006668236833811461,0.7000132340950282,0.8417973337959924,19616.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2023_2024,2023;2024,31761,20017,39,ESTIMABLE,,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,20017.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2023_2024,2023;2024,30056,19616,39,ESTIMABLE,,0.054142866474258554,0.04162707850690558,-0.01674083778411758,0.6737847791544122,0.8417973337959914,19616.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,primary,2025,W2022_2024,2022;2023;2024,44920,20017,39,ESTIMABLE,,0.05143113995008685,0.04213824442732101,-0.014888396042622938,0.7168154590562494,0.8607811944412878,20017.0
valid_retrieval_no_high,AOI-00,MULTI_AOI,sensitivity,2025,W2022_2024,2022;2023;2024,42581,19616,39,ESTIMABLE,,0.05282746426251243,0.04072167729776723,-0.008786199246736966,0.6894430441124555,0.8417973337959924,19616.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,primary,2024,R2024-H1,2023,12841,18920,39,ESTIMABLE,,0.05421603307552783,0.0437617159430832,0.016963577709130723,0.6558046210124928,0.8337866699367015,18920.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,sensitivity,2024,R2024-H1,2023,12694,17362,39,ESTIMABLE,,0.057526227097558044,0.04401370627557058,0.024994563438844566,0.576025341278078,0.8166940540538308,17362.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,primary,2024,R2024-H2,2022;2023,26000,18920,39,ESTIMABLE,,0.0554669895597215,0.04486750564128322,0.020959358617217577,0.6397377549615606,0.8337866699367015,18920.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,sensitivity,2024,R2024-H2,2022;2023,25219,17362,39,ESTIMABLE,,0.06122385594920404,0.047387527884447424,0.033710629485337935,0.5197697938393717,0.8165863553368419,17362.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,primary,2024,R2024-H3,2021;2022;2023,38679,18920,39,ESTIMABLE,,0.054155030547034584,0.04372754063260131,0.017988886418782178,0.656578745369888,0.8337866699367011,18920.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,sensitivity,2024,R2024-H3,2021;2022;2023,36748,17362,39,ESTIMABLE,,0.057590233248197106,0.044097588530257276,0.026743158815033728,0.5750813515839452,0.8165845340940263,17362.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,primary,2025,R2025-H1,2024,18920,20017,39,ESTIMABLE,,0.05644209365083085,0.04587129704179493,-0.027287716492130534,0.6589457461127983,0.8607811944412875,20017.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,sensitivity,2025,R2025-H1,2024,17362,19616,39,ESTIMABLE,,0.058885974013810065,0.045806204745804914,-0.02770372712001634,0.614126053119902,0.841797333795992,19616.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,primary,2025,R2025-H2,2023;2024,31761,20017,39,ESTIMABLE,,0.0530310819217106,0.04324926532253731,-0.01975046415360734,0.6989225592062891,0.8607811944412884,20017.0
valid_retrieval_no_high,AOI-00,ROLLING_ORIGIN,sensitivity,2025,R2025-H2,2023;2024,30056,19616,39,ESTIMABLE,,0.054142866474258554,0.04162707850690558,-0.01674083778411758,0.6737847791544122,0.8417973337959914,19616.0
