AOI_ID,included_scene_records,nominal_date,scene_records,sensor,source_manifest_hash,year
AOI-02,6,2023-07-31,9,landsat,db590486feb59f7cb3b91ef6d46c3684a464f22c2b2490825dabffcf62d88673,2023
AOI-02,6,2023-08-10,9,landsat,1b0ee7e186a2dcb651783d874ef5007d8b6ff609b6b4fc05c0e8fd4e3e3f3dbe,2023
AOI-02,6,2024-07-20,10,landsat,f41d6181dd3066b10789750b45d37685a09d140aeb73b24b514aecc21e5b91e7,2024
AOI-02,5,2024-07-31,10,landsat,e1c95926a620abc3094407956acb6764e6de5f538aa6865e11ce6689dcdb9222,2024
AOI-02,5,2024-08-10,10,landsat,c18f4dd9cdcf852ae024ce79ee247527ea14b766509749f4152a5af5bbc53ca4,2024
AOI-02,4,2025-07-20,7,landsat,802b11c620ccb7b486e0c2fc921a476b2f7bc375100ed3ea10db3f7f31e819f8,2025
AOI-02,5,2025-07-31,7,landsat,f4053eb4fb756490412fa0c67da2663105b4201b20413d291383413187cfe362,2025
AOI-02,4,2025-08-10,7,landsat,4d360499d73cb10962a1cc304737a55955e6ca3e4b9ec141f680bd8651110cf1,2025
AOI-02,4,2021-07-20,7,modis,6f6277ec0a84b8381e2533ce25121842ac0c04ab52163a57a7c3965114d06d58,2021
AOI-02,5,2021-07-31,7,modis,c122ae289b4bdbc186bc91e3cc4bd5ad18a25fb541df2914c478ade43e5cdfd9,2021
AOI-02,5,2021-08-10,7,modis,e8731652877aa121d810dbcb62f097239cdd9dc72cd8040d37301faf9de9f76c,2021
AOI-02,4,2022-07-20,7,modis,eaa964d40a7468299f69d09ecdd1275e976c37269e5f96eeebb300a976789685,2022
AOI-02,5,2022-07-31,7,modis,544ca3951a1f475600fb34294b9165fa35220c1569c7eae0e83f747ad5452116,2022
AOI-02,5,2022-08-10,7,modis,b7d39f418ca1a98a4a60cf2b1e3f94a0c7e13f33efd32f861101de087323587d,2022
AOI-02,4,2023-07-20,7,modis,d3de0fa611ac1fda89a98167ea3fa2dd33262609bfafb5f8ddd30ca0fab7e979,2023
AOI-02,5,2023-07-31,7,modis,e71edacb2b8b62bf9f9e0cd6781fb3f22a43bf023d28d7edcad1027611a110ce,2023
AOI-02,5,2023-08-10,7,modis,fe703df2821acf2e721e9d79ee9a77df57ded8ed27ac69a2941b291e85be2705,2023
AOI-02,5,2024-07-20,7,modis,8f8b066ee9477b34b505906878562d117b83e6c5de11c2189c252409b806d943,2024
AOI-02,5,2024-07-31,7,modis,2a3fa3b6a34109b1a1fa874891bfa3f735c070c23a3f83a4f88a01eadc5743c9,2024
AOI-02,5,2024-08-10,7,modis,e387fa1853964fdf398298d1a02fbb7e826f33866657ff238df71d7c26c8f130,2024
AOI-02,4,2025-07-20,7,modis,3b1e9dbb79368dd969b4b07dc6b46a304189d48e2ae776189ed5b88202c02c01,2025
AOI-02,5,2025-07-31,7,modis,dd5cbfe65c36736ad051960e825aa69b606318d4b5bb2d2e05e7cdfde77b7810,2025
AOI-02,5,2025-08-10,7,modis,0cdf8915bfe9126faca0910f7ed2caff20094f79f5bb188130c66d095c5ffee6,2025
AOI-02,12,2021-07-20,15,sentinel2,50f735f1f4948f1c8b3bbe2e694f1c1ecb690a7306fe8954bd0dc55a523664ce,2021
AOI-02,8,2021-07-31,15,sentinel2,5de488a66fc2910a859af546c8f8e50b67533a1352216aacbabc690b664f054a,2021
AOI-02,7,2021-08-10,15,sentinel2,51c8128eae74161881f2b0bec368c989a4f67f49c3ed13b8fa067a01a3e37879,2021
AOI-02,10,2022-07-20,18,sentinel2,f15f3f329fa1d2ad957e154087e5db6d5b397f7406cab314c3c73fa865d2fc44,2022
AOI-02,12,2022-07-31,18,sentinel2,22f32ff9dee0a30d9cd3a13a827e18262ab2dc9e21daa4cc9301235844cb43aa,2022
AOI-02,12,2022-08-10,18,sentinel2,8cc93ecf21da408399f158ae420a6d4f958c3fd4dd075017a538c214f3d10f9d,2022
AOI-02,6,2023-07-20,9,sentinel2,2a66b43b7d34d9c999963785c39719be292238598f7c4c549c6f658bafd9f879,2023
AOI-02,6,2023-07-31,9,sentinel2,59701d33f9666e94f0339315b937f80405f0286477cb6aeb92f3e6084376adbd,2023
AOI-02,5,2023-08-10,9,sentinel2,1528a173ef237a38822e11779f2d195de78f78d2a64390c431fdb8256bf87a46,2023
AOI-02,7,2024-07-20,17,sentinel2,1f3e631c0c6718f797760bb3f429b67277b85f858b528d0383b7da9a6cfb63ca,2024
AOI-02,11,2024-07-31,17,sentinel2,6e6329d1dd4062e9032ee9ede781fca774d8d0ee39754ba7dea77b5e210aa4bb,2024
AOI-02,12,2024-08-10,17,sentinel2,0bfdbd1337f533fac21a89d257d6be6a64e14764274ada9b9819a367616d8021,2024
AOI-02,13,2025-07-20,20,sentinel2,514286d13465d17abb8f5ca497564f820074e01d70131cf095a4fb752733a9a1,2025
AOI-02,11,2025-07-31,20,sentinel2,d31076bf07701ca8d4175a96cf9d2cdee219641c40f06f6bb43ba961d0d36340,2025
AOI-02,10,2025-08-10,20,sentinel2,64f2faec1808957c8ce2b1a40993a86ea910ff0bf38f8e9eb93301dcb666189a,2025
AOI-03,2,2021-07-20,5,landsat,c4579d8515a4732d902735ee7fc644e9427b62d177bf622841b94c66021ab6a5,2021
AOI-03,3,2021-07-31,5,landsat,74f635b481017866e6c89e25508ac0fa42791fffb24f8060b41425dcee93f260,2021
AOI-03,3,2021-08-10,5,landsat,e0cf8ee93892a5552404b9c38d7408e98f239162fd2daa29e92f39bf8e6388d5,2021
AOI-03,8,2022-07-20,15,landsat,a8ed03e0c3f087ecff4902c103a421da44c59795466fc1e90cccdb6b3ab27f57,2022
AOI-03,9,2022-07-31,15,landsat,80830a33443ec692e9e16a97d443a5af1d3033741661ecc5564bd82104e45c96,2022
AOI-03,10,2022-08-10,15,landsat,f5f06b2de73c31e8a54f88f1cc5b465c9fdbf5e131cdf59fb700f0531639da96,2022
AOI-03,11,2023-07-20,15,landsat,a324bb54083c5185450622e21e42c19467a1490ae0abecbba55e8f9f7c851dbd,2023
AOI-03,9,2023-07-31,15,landsat,29f80681544f7bb373620624c70e25916543f540fbca9f23125a64ae10c4ee14,2023
AOI-03,6,2023-08-10,15,landsat,16df99f85b36d5f5fe932a0ca1f5af4a8ccc0f01608674f28824176f7e23ad36,2023
AOI-03,8,2024-07-20,14,landsat,c2b396e343037af031f61cdc361991d94b0171f0b4688e27f37a7ad38e34e7e8,2024
AOI-03,8,2024-07-31,14,landsat,be2b04159a3e7c4405f06d8c3511dd926bc199fec0e79d85b36fd4efb4c71a9e,2024
AOI-03,9,2024-08-10,14,landsat,4f9003ea6208b3ce8e8550b60a2201bc5a6bf81951e2c1cc1763c4e0417dc8af,2024
AOI-03,11,2025-07-20,18,landsat,8959da1a168f0146c4badf810d9edec50e7996c98e04debd46d171b769f8535b,2025
AOI-03,10,2025-07-31,18,landsat,28b8c887c675557f548d56f21b1b12db4667cc6e98c097358ffe98a0a2d10fca,2025
AOI-03,10,2025-08-10,18,landsat,352dfb6307c2206147b9c25a632d3baa134892936c35efa3c596b862f1d3b812,2025
AOI-03,4,2021-07-20,7,modis,94e65d6673e82ca7499543da42979a9991200088ea142ef4bbcf07853db0b992,2021
AOI-03,5,2021-07-31,7,modis,d498f41c72a762b98fb4db9baa951d20aabbd6331471ba27ffc10b92ec2d4975,2021
AOI-03,5,2021-08-10,7,modis,9c6b2540d7f17030727fb5288dcd453efe2a0792750c5c29491898d4a5baccf0,2021
AOI-03,4,2022-07-20,7,modis,c216a56b3529b4599c82f0fd308f45c753b6faa1cb75e145224902730f7c66ff,2022
AOI-03,5,2022-07-31,7,modis,0c63aeb823ca32d77faeeb361c79d53e36a48311a27938bebe5f3bf39417386f,2022
AOI-03,5,2022-08-10,7,modis,c692038a1b570b9de02b54d65452193303363402a4dec2747b786403488e4404,2022
AOI-03,4,2023-07-20,7,modis,7bd6ac8ab0a773a0613cee67028399d72f6958d78672cea1c187d8b90ab0295e,2023
AOI-03,5,2023-07-31,7,modis,d050f54946f62286cb6d1eb09a830b9f4cf1f276ec1e9b5b461f9acb7c7f43a7,2023
AOI-03,5,2023-08-10,7,modis,1f046f0f15db4e8ed9d62c207036300172146fa618fe70aff57769fb948026b3,2023
AOI-03,5,2024-07-20,7,modis,bd6fce3ebab5eb82b11ba244c42c14ea07b492475291d4c6df38888273d6824a,2024
AOI-03,5,2024-07-31,7,modis,fef36c4439c8cb58f2dc9b1823f966ba08cb5e25751dc5a1b715f826e5203d06,2024
AOI-03,5,2024-08-10,7,modis,8fe825935f22b57c4dd13cd1290fc957434fb1f2dcad4d2e74663bac3053ecc6,2024
AOI-03,4,2025-07-20,7,modis,d815a07f2fc6223b9b27ee32abe188b453f2486d666af520d94fdcd781195638,2025
AOI-03,5,2025-07-31,7,modis,f16832348a38655acd1abd614ba1d22c7ce5ea91044e0cb61d371f30519c4bfc,2025
AOI-03,5,2025-08-10,7,modis,a5a2a7c82afe4a7da102589b72cb9b9f110454dc5e5e36b8647491cf952bfdff,2025
AOI-03,6,2021-07-20,8,sentinel2,30d46f8e5b3bd5c7cdf485b425aa562c4db6a9bdbbb5fbb91522accbe5fca1a3,2021
AOI-03,5,2021-07-31,8,sentinel2,a6f34003b03bf0c9883b61d0ff47b76e9dac5924804ecbc8c36ccf3ca393cbfc,2021
AOI-03,4,2021-08-10,8,sentinel2,a9794aea4cb4c3802d66be24c9f9b79d7e10d8c14df517bf8d352a604c6908b5,2021
AOI-03,5,2022-07-20,9,sentinel2,14f609c0fa28def4107b0b6cb7da4e8f0b58e0cc82719895a5defbe7b1f89b16,2022
AOI-03,5,2022-07-31,9,sentinel2,7938d7ed1c63ac77f920644753558ddc7d1a19ea1f9cb376da82ed89207daf91,2022
AOI-03,6,2022-08-10,9,sentinel2,0adc363c9e5514e13da4781c76d69aa23f1604a0b86fe475132f97ffe1a098c8,2022
AOI-03,4,2023-07-20,7,sentinel2,47efe68dd7942d4ad70d0ebdbda05a7a9a443265bf3db1cb8a30761fd4ce31de,2023
AOI-03,5,2023-07-31,7,sentinel2,4797a385f19171cdf9de371f37fada538d19ac00bb1256f8569d41e87a80d2ea,2023
AOI-03,4,2023-08-10,7,sentinel2,8023523494ca342b1461aca2f688083863549742d6b37c69f7e27d21d23b7832,2023
AOI-03,3,2024-07-20,7,sentinel2,5d66d769f257df6cbcd37d955294ec5932cb2f59258a38d72cea1577c0c3975c,2024
AOI-03,6,2024-07-31,7,sentinel2,9ca576940ae4d5f910d2a8e709a963b23c2271ae206080795ee770b674309b51,2024
AOI-03,5,2024-08-10,7,sentinel2,5db555a47ef59cced3f0c08e062ff5736b0654200a8792d9f3a8238d8721d7d9,2024
AOI-03,7,2025-07-20,9,sentinel2,cf34ae1aaeef59b4d370ff54ca9481b6a1a077a072f097308f5f96c298d4ffe8,2025
AOI-03,6,2025-07-31,9,sentinel2,c44276c35392700bab131e18e24a4cea5af4fd3c0c60427f3639e262e782a68c,2025
AOI-03,4,2025-08-10,9,sentinel2,0d182d7f698d152bbda85bf0eb6d2640d6647876fbd359deb6870293933f4ed1,2025
