AOI_ID,FCOVER_cell_id,block_col,block_crs,block_id,block_row,block_size_m,cell_center_lat,cell_center_lon,cell_center_x_m,cell_center_y_m,cell_col,cell_row,development_reserve_assignment
AOI-00,AOI-00_r0000_c0070,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.52380952507968,545894.2786527888,4222785.775882879,70,0,development
AOI-00,AOI-00_r0000_c0071,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.52678571555589,546155.0433526286,4222787.252794215,71,0,development
AOI-00,AOI-00_r0000_c0072,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.52976190603209,546415.8080822725,4222788.738073969,72,0,development
AOI-00,AOI-00_r0000_c0073,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.5327380965083,546676.5728418892,4222790.231722148,73,0,development
AOI-00,AOI-00_r0000_c0074,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.5357142869845,546937.3376316468,4222791.733738765,74,0,development
AOI-00,AOI-00_r0000_c0075,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.5386904774607,547198.1024517138,4222793.24412383,75,0,development
AOI-00,AOI-00_r0000_c0076,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.54166666793691,547458.8673022585,4222794.762877357,76,0,development
AOI-00,AOI-00_r0000_c0077,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.54464285841311,547719.632183448,4222796.289999355,77,0,development
AOI-00,AOI-00_r0000_c0078,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.54761904888932,547980.397095453,4222797.825489835,78,0,development
AOI-00,AOI-00_r0000_c0079,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.55059523936552,548241.1620384407,4222799.369348808,79,0,development
AOI-00,AOI-00_r0000_c0080,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.55357142984172,548501.9270125795,4222800.9215762885,80,0,development
AOI-00,AOI-00_r0000_c0081,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.55654762031793,548762.6920180375,4222802.482172283,81,0,development
AOI-00,AOI-00_r0000_c0082,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.55952381079413,549023.4570549834,4222804.0511368085,82,0,development
AOI-00,AOI-00_r0000_c0083,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.56250000127034,549284.2221235852,4222805.628469873,83,0,development
AOI-00,AOI-00_r0000_c0084,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.56547619174654,549544.9872240113,4222807.214171489,84,0,development
AOI-00,AOI-00_r0000_c0085,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.56845238222274,549805.7523564302,4222808.808241667,85,0,development
AOI-00,AOI-00_r0000_c0086,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.57142857269895,550066.517521009,4222810.410680421,86,0,development
AOI-00,AOI-00_r0000_c0087,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.57440476317515,550327.2827179183,4222812.021487762,87,0,development
AOI-00,AOI-00_r0000_c0088,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.57738095365136,550588.0479473252,4222813.640663701,88,0,development
AOI-00,AOI-00_r0000_c0089,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.58035714412756,550848.8132093982,4222815.26820825,89,0,development
AOI-00,AOI-00_r0000_c0090,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.58333333460376,551109.5785043053,4222816.904121423,90,0,development
AOI-00,AOI-00_r0000_c0091,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.58630952507997,551370.3438322154,4222818.5484032305,91,0,development
AOI-00,AOI-00_r0000_c0092,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.58928571555617,551631.1091932963,4222820.201053684,92,0,development
AOI-00,AOI-00_r0000_c0093,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.59226190603238,551891.8745877167,4222821.862072797,93,0,development
AOI-00,AOI-00_r0000_c0094,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.59523809650858,552152.6400156445,4222823.53146058,94,0,development
AOI-00,AOI-00_r0000_c0095,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.59821428698478,552413.4054772473,4222825.209217048,95,0,development
AOI-00,AOI-00_r0000_c0096,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.60119047746099,552674.1709726955,4222826.895342211,96,0,development
AOI-00,AOI-00_r0000_c0097,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.60416666793719,552934.9365021563,4222828.589836082,97,0,development
AOI-00,AOI-00_r0000_c0098,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.6071428584134,553195.7020657981,4222830.292698676,98,0,development
AOI-00,AOI-00_r0000_c0099,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.6101190488896,553456.467663789,4222832.0039300015,99,0,development
AOI-00,AOI-00_r0000_c0100,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.6130952393658,553717.2332962976,4222833.723530073,100,0,development
AOI-00,AOI-00_r0000_c0101,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.61607142984201,553977.9989634921,4222835.451498904,101,0,development
AOI-00,AOI-00_r0000_c0102,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.61904762031821,554238.7646655408,4222837.1878365055,102,0,development
AOI-00,AOI-00_r0000_c0103,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.62202381079442,554499.530402612,4222838.932542891,103,0,development
AOI-00,AOI-00_r0000_c0104,5,EPSG:32647,AOI-00_b_5_5,5,5000,38.151785714295215,99.62500000127062,554760.296174873,4222840.685618075,104,0,development
AOI-00,AOI-00_r0000_c0105,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.62797619174682,555021.0619824942,4222842.447062069,105,0,reserve
AOI-00,AOI-00_r0000_c0106,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.63095238222303,555281.8278256429,4222844.216874884,106,0,reserve
AOI-00,AOI-00_r0000_c0107,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.63392857269923,555542.5937044874,4222845.995056538,107,0,reserve
AOI-00,AOI-00_r0000_c0108,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.63690476317544,555803.359619196,4222847.781607039,108,0,reserve
AOI-00,AOI-00_r0000_c0109,6,EPSG:32647,AOI-00_b_6_5,5,5000,38.151785714295215,99.63988095365164,556064.125569937,4222849.576526404,109,0,reserve
