execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,run_id
multi_aoi-2b11925fbb1288d1b83d,multi_aoi,AOI-01,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.798500+00:00,W2023_2024,19878,35,0.0013658898120329,0.000320746589372,-0.0002287273757756,0.3856822753170371,0.8475791954719489,0.0706220390962005,-0.0022559056859421,39607,multi_aoi--AOI-01--sentinel2--W2023_2024
multi_aoi-f6ba22729ece71813088,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.928427+00:00,W2022_2024,19878,35,0.0013568861977573,0.0003287746715037,-0.0002134852983773,0.3937544492492609,0.8460051752069516,0.0705736527026175,-0.002194677813068,59485,multi_aoi--AOI-01--sentinel2--W2022_2024
multi_aoi-a6d91658f199c73b0c6a,multi_aoi,AOI-01,landsat,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.126940+00:00,W2022,14738,35,0.0013951280046526,0.0005133119633503,-2.6646491557405347e-05,0.3335706616250535,0.6635350736346466,0.0880375779596922,-0.0046682387840633,19149,multi_aoi--AOI-01--landsat--W2022
multi_aoi-ae4a37a750b8d9fb4be7,multi_aoi,AOI-01,landsat,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.193528+00:00,W2023,14738,35,0.0013556186888521,0.0006013871447245,0.0001330803360065,0.3707820696504035,0.6489570632237263,0.1095402120280271,-0.005685602641599,19878,multi_aoi--AOI-01--landsat--W2023
multi_aoi-0153b0621f172bff18e4,multi_aoi,AOI-01,landsat,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.261468+00:00,W2024,14738,35,0.0013752216480642,0.0006170496079467,0.0001349960854972,0.3524528514911028,0.6404183852649107,0.1008082587428436,-0.0051651411704176,19872,multi_aoi--AOI-01--landsat--W2024
multi_aoi-e961157ed39ff32391fa,multi_aoi,AOI-01,landsat,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.338220+00:00,W2022_2023,14738,35,0.0013713010198709,0.0005540147435389,4.798856368002982e-05,0.3561397810590151,0.6558753778521125,0.0982333219489715,-0.005151154769054,39027,multi_aoi--AOI-01--landsat--W2022_2023
multi_aoi-17f608c32f85b504a42a,multi_aoi,AOI-01,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.463921+00:00,W2023_2024,14738,35,0.0013650952252453,0.000609735217302,0.0001351132243413,0.3619541472415132,0.6447416215787831,0.1053281495021411,-0.0054324123623114,39750,multi_aoi--AOI-01--landsat--W2023_2024
multi_aoi-2c09911f517b431148e3,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.594652+00:00,W2022_2024,14738,35,0.0013724223382514,0.0005738149403587,7.480297583573888e-05,0.3550863763471589,0.6505171709492424,0.0986989982091235,-0.0051348132014611,58899,multi_aoi--AOI-01--landsat--W2022_2024
multi_aoi-56f72ff5e981be70371d,multi_aoi,AOI-01,modis,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.791895+00:00,W2022,19878,35,0.0013974994908815,0.0005742492357957,0.000156116145249,0.3569199582033443,0.6717992420444419,0.0956840411553286,-0.0052895165780591,19878,multi_aoi--AOI-01--modis--W2022
multi_aoi-1b3788664b1356720965,multi_aoi,AOI-01,modis,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.862924+00:00,W2023,19878,35,0.0014177528791645,0.0005203806900668,6.465544643525729e-05,0.3381450969537696,0.6830310593402389,0.0849947999759786,-0.0047553771080641,19878,multi_aoi--AOI-01--modis--W2023
