execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,window,slope,intercept,train_n,train_block_n,run_id,experiment_family,rolling_id,history_length
multi_aoi-c974b893530fad9b2ace,multi_aoi,AOI-01,sentinel2,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.598146+00:00,W2024,0.0644525053410461,-0.002034170005547,19878,35,multi_aoi--AOI-01--sentinel2--W2024,multi_aoi,,
multi_aoi-affc9c6500dfef269b29,multi_aoi,AOI-01,sentinel2,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.675227+00:00,W2022_2023,0.0734493219968637,-0.0022645884969966,39607,35,multi_aoi--AOI-01--sentinel2--W2022_2023,multi_aoi,,
multi_aoi-2b11925fbb1288d1b83d,multi_aoi,AOI-01,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.798500+00:00,W2023_2024,0.0706220390962005,-0.0022559056859421,39607,35,multi_aoi--AOI-01--sentinel2--W2023_2024,multi_aoi,,
multi_aoi-f6ba22729ece71813088,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.928427+00:00,W2022_2024,0.0705736527026175,-0.002194677813068,59485,35,multi_aoi--AOI-01--sentinel2--W2022_2024,multi_aoi,,
multi_aoi-a6d91658f199c73b0c6a,multi_aoi,AOI-01,landsat,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.126940+00:00,W2022,0.0880375779596922,-0.0046682387840633,19149,35,multi_aoi--AOI-01--landsat--W2022,multi_aoi,,
multi_aoi-ae4a37a750b8d9fb4be7,multi_aoi,AOI-01,landsat,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.193528+00:00,W2023,0.1095402120280271,-0.005685602641599,19878,35,multi_aoi--AOI-01--landsat--W2023,multi_aoi,,
multi_aoi-0153b0621f172bff18e4,multi_aoi,AOI-01,landsat,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.261468+00:00,W2024,0.1008082587428436,-0.0051651411704176,19872,35,multi_aoi--AOI-01--landsat--W2024,multi_aoi,,
multi_aoi-e961157ed39ff32391fa,multi_aoi,AOI-01,landsat,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.338220+00:00,W2022_2023,0.0982333219489715,-0.005151154769054,39027,35,multi_aoi--AOI-01--landsat--W2022_2023,multi_aoi,,
multi_aoi-17f608c32f85b504a42a,multi_aoi,AOI-01,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.463921+00:00,W2023_2024,0.1053281495021411,-0.0054324123623114,39750,35,multi_aoi--AOI-01--landsat--W2023_2024,multi_aoi,,
multi_aoi-2c09911f517b431148e3,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.594652+00:00,W2022_2024,0.0986989982091235,-0.0051348132014611,58899,35,multi_aoi--AOI-01--landsat--W2022_2024,multi_aoi,,
multi_aoi-56f72ff5e981be70371d,multi_aoi,AOI-01,modis,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.791895+00:00,W2022,0.0956840411553286,-0.0052895165780591,19878,35,multi_aoi--AOI-01--modis--W2022,multi_aoi,,
multi_aoi-1b3788664b1356720965,multi_aoi,AOI-01,modis,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.862924+00:00,W2023,0.0849947999759786,-0.0047553771080641,19878,35,multi_aoi--AOI-01--modis--W2023,multi_aoi,,
multi_aoi-dfc8e0368af4eff139ab,multi_aoi,AOI-01,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:22.930390+00:00,W2024,0.0511098817215989,-0.0028150944328324,19878,35,multi_aoi--AOI-01--modis--W2024,multi_aoi,,
multi_aoi-4345171fab6f74744cb9,multi_aoi,AOI-01,modis,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:23.006900+00:00,W2022_2023,0.0891504755802703,-0.004957849780149,39756,35,multi_aoi--AOI-01--modis--W2022_2023,multi_aoi,,
multi_aoi-41ad1ec1787b6534457c,multi_aoi,AOI-01,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:23.128918+00:00,W2023_2024,0.0668775275409987,-0.0037212072302103,39756,35,multi_aoi--AOI-01--modis--W2023_2024,multi_aoi,,
multi_aoi-b80c98fb9760ee7383c0,multi_aoi,AOI-01,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:23.262204+00:00,W2022_2024,0.0739452694694675,-0.0041079391256634,59634,35,multi_aoi--AOI-01--modis--W2022_2024,multi_aoi,,
multi_aoi-3382c22fcaa13a695bc4,multi_aoi,AOI-02,sentinel2,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,7418af55cae20a34b58eafb2985c4939c8fac1747c8ce9f0144dda0f812ea640,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:23.462762+00:00,W2022,0.8720815584970307,0.0049346707807029,18847,38,multi_aoi--AOI-02--sentinel2--W2022,multi_aoi,,
