AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
AOI-01,landsat,R2024-H3,2024,3,19872,19872,0.0011809444966472,0.0003591872555819,0.0001280057962282,0.4373146300589745,0.7532417502327515,0.0966279289435989,-0.0051072246447245,10862,10862,0.0012010449610705,0.000405989787641,0.000103434488731,0.3874912352936036,0.6974303947992733,0.0911392305507513,-0.004774774418714,10862,10862,0.0011371901409681,0.0004356932315817,0.0001581815847959,0.4508892470789323,0.7418299141907915,0.0982132590767141,-0.0051892499468762,10862,10862,0.0012010449610705,0.000405989787641,0.000103434488731,0.3874912352936036,0.6974303947992733,0.0911392305507513,-0.004774774418714,10862,0.5465982286634461,2.010046442329984e-05,6.385482010239996e-05,4.680253205909999e-05,-2.970344394070002e-05,-2.4571307497200004e-05,-5.474709606489998e-05,-0.005488698392847602,-0.007074028525962811,0.0003324502260105,0.0004144755281621998
AOI-01,landsat,R2025-H1,2025,1,14738,14738,0.0013752216480642,0.0006170496079467,0.0001349960854972,0.3524528514911028,0.6404183852649107,0.1008082587428436,-0.0051651411704176,9601,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,9601,0.0012001021052102,0.0005318088431598,0.000128988306282,0.4401389449449184,0.7264280258241015,0.0980351747807159,-0.0051031398846483,9601,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,0.6514452435880038,-0.00014012231613910004,3.4997226714900045e-05,-5.183701519439999e-05,3.3403749592499934e-05,1.35462722932e-05,1.95540515084e-05,-0.010478894725886104,-0.007705810763758397,0.0005691576455307996,0.0005071563597615
AOI-01,landsat,R2025-H2,2025,2,14738,14738,0.0013650952252453,0.000609735217302,0.0001351132243413,0.3619541472415132,0.6447416215787831,0.1053281495021411,-0.0054324123623114,9601,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,9601,0.0011912512338369,0.0005454480392644,0.0001568659178204,0.4483665539206619,0.7253228767299523,0.1027739267417286,-0.005341488255316,9601,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,0.6514452435880038,-0.00014537294050840006,2.8471050899999892e-05,-4.907650197569994e-05,1.5210676061900024e-05,1.996745912769999e-05,-1.785234351399991e-06,-0.009544996947728798,-0.006990774187316293,0.0005244277721887002,0.00043350366519330063
AOI-01,landsat,R2025-H3,2025,3,14738,14738,0.0013724223382514,0.0005738149403587,7.480297583573888e-05,0.3550863763471589,0.6505171709492424,0.0986989982091235,-0.0051348132014611,9601,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,9601,0.0011928478935703,0.0005324806194597,0.0001362365282503,0.4468868305104131,0.7277454770254972,0.1008609592840067,-0.0052599606292766,9601,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,0.6514452435880038,-0.00014821516687630004,3.1359277804800115e-05,-2.9256067449600015e-05,1.2078253449400033e-05,5.324746522356112e-05,-8.186087191000004e-06,-0.006009481338911105,-0.008171442413794291,0.00036824142151579975,0.0004933888493312997
AOI-01,modis,R2024-H1,2024,1,19878,19878,0.0013786732482322,0.0004609123575446,0.0002006826151935,0.2328881693017269,0.5602291444857145,0.0849947999759786,-0.0047553771080641,19776,19776,0.0013635053795138,0.0004234003438508,0.0001627015204742,0.2383112492910843,0.5667681220013033,0.0818142507972776,-0.0045980798463686,19776,19776,0.0013548486846826,0.0004652989767531,0.0002172709468719,0.2479522465800812,0.5732385230490109,0.0907488985147827,-0.005094112047038,19776,19776,0.0013635053795138,0.0004234003438508,0.0001627015204742,0.2383112492910843,0.5667681220013033,0.0818142507972776,-0.0045980798463686,19776,0.9948686990642922,-1.5167868718399908e-05,8.65669483120007e-06,-3.7512013693800016e-05,-4.1898632902300024e-05,-3.7981094719300004e-05,-5.45694263977e-05,-0.003180549178701003,-0.008934647717505101,0.00015729726169550016,0.0004960322006693999
AOI-01,modis,R2024-H2,2024,2,19878,19878,0.0013800483780977,0.0004921620121813,0.0002387746811696,0.2313571256356295,0.5529276202179613,0.0891504755802703,-0.004957849780149,19776,19776,0.0013673184031955,0.0004476709888295,0.0001903319223997,0.2340451888010459,0.557118833820118,0.082848814972403,-0.0046182593517428,19776,19776,0.0013601117993128,0.0004947700438164,0.0002514949335066,0.2420980113081612,0.5638574616418061,0.0928378262281159,-0.0051719883241891,19776,19776,0.0013673184031955,0.0004476709888295,0.0001903319223997,0.2340451888010459,0.557118833820118,0.082848814972403,-0.0046182593517428,19776,0.9948686990642922,-1.2729974902200153e-05,7.2066038826999745e-06,-4.4491023351800004e-05,-4.7099054986900007e-05,-4.8442758769900014e-05,-6.11630111069e-05,-0.006301660607867299,-0.009989011255712901,0.00033959042840620013,0.0005537289724462996
AOI-01,modis,R2024-H3,2024,3,19878,19878,0.0013713851121106,0.0004408871812431,0.0001798392207932,0.2409771606170251,0.5712188417264286,0.08620234739538,-0.0048649396034449,19776,19776,0.0013582031236274,0.0004085943086886,0.000147361225361,0.2442236808051527,0.5756099231205292,0.0828906891629835,-0.0046920175936095,19776,19776,0.0013499951453093,0.0004433960171736,0.0001926330864879,0.2533307888052251,0.5822761683840537,0.0901158218846565,-0.0050939269978,19776,19776,0.0013582031236274,0.0004085943086886,0.000147361225361,0.2442236808051527,0.5756099231205292,0.0828906891629835,-0.0046920175936095,19776,0.9948686990642922,-1.3181988483199937e-05,8.207978318100018e-06,-3.2292872554500016e-05,-3.480170848499999e-05,-3.247799543219999e-05,-4.5271861126900006e-05,-0.0033116582323965,-0.007225132721672994,0.00017292200983540056,0.0004019094041905003
AOI-01,modis,R2025-H1,2025,1,19878,19878,0.0015301914218663,0.0004728336436292,-7.073827276235444e-05,0.2290020191971791,0.6684975744159392,0.0511098817215989,-0.0028150944328324,19714,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,19714,0.0014710862464752,0.0004763422597493,-3.411448779207706e-05,0.2759722268775306,0.6818175818012645,0.0638174420311025,-0.0035654022941035,19714,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,0.9917496730053326,-1.8689078929699917e-05,4.04160964614e-05,2.8426997222000196e-06,-6.659163979000089e-07,8.552430425295756e-06,-2.807135454498162e-05,0.00011815767762130003,-0.012589402631882296,8.63319789199974e-06,0.0007589410591630997
AOI-01,modis,R2025-H2,2025,2,19878,19878,0.0014734826564928,0.0004930812955601,-1.0024037016673304e-05,0.2850893423852669,0.6778159407140044,0.0668775275409987,-0.0037212072302103,19714,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,19714,0.0014282659814937,0.0004964454574425,1.9971609929313797e-05,0.3175086681525942,0.6850517491380265,0.0767913392058189,-0.0043046941636647,19714,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,0.9917496730053326,-1.2916621353899942e-05,3.230005364519991e-05,-6.860614380199952e-06,-1.0224776262599965e-05,-6.945462676292534e-06,-3.6941109622279635e-05,-0.0013924958826040945,-0.011306307547424302,8.046455259699999e-05,0.0006639514860514004
AOI-01,modis,R2025-H3,2025,3,19878,19878,0.0014507230444003,0.0005119764291834,2.9472812236953387e-05,0.3070039899124258,0.6763311041706928,0.0739452694694675,-0.0041079391256634,19714,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,19714,0.0014144478595565,0.0005158895773286,5.5339450569689645e-05,0.3306506577831304,0.680827455963828,0.0816788995836632,-0.0045585470346912,19714,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,0.9917496730053326,-7.072118957900065e-06,2.9203065885899816e-05,-1.2006737235599994e-05,-1.5919885380800015e-05,-1.765671704977695e-05,-4.352335538251321e-05,-0.0033345466758740033,-0.011068176790069703,0.00018760255884030068,0.0006382104678681003
