AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
AOI-01,landsat,W2024,14738,0.0013752216480642,0.0006170496079467,0.0001349960854972,0.3524528514911028,0.6404183852649107,0.1008082587428436,-0.0051651411704176,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,0.0012001021052102,0.0005318088431598,0.000128988306282,0.4401389449449184,0.7264280258241015,0.0980351747807159,-0.0051031398846483,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,0.6514452435880038,-0.00014012231613910004,3.4997226714900045e-05,-5.183701519439999e-05,3.3403749592499934e-05,1.35462722932e-05,1.95540515084e-05,-0.010478894725886104,-0.007705810763758397,0.0005691576455307996,0.0005071563597615
AOI-01,landsat,W2022_2023,14738,0.0013713010198709,0.0005540147435389,4.798856368002982e-05,0.3561397810590151,0.6558753778521125,0.0982333219489715,-0.005151154769054,9601,0.0012197323830697,0.0005359453060655,0.000119446646195,0.421673661771451,0.7160638775658889,0.0936881738006664,-0.0048392043090577,9601,0.0011897385052335,0.0005332839930409,0.0001401735525113,0.449766664720935,0.728199029229375,0.102154150765038,-0.0053307772552853,9601,0.0012197323830697,0.0005359453060655,0.000119446646195,0.421673661771451,0.7160638775658889,0.0936881738006664,-0.0048392043090577,9601,0.6514452435880038,-0.00015156863680120002,2.9993877836199858e-05,-1.806943747339996e-05,2.661313024599995e-06,7.145808251497018e-05,-2.0726906316300008e-05,-0.004545148148305103,-0.00846597696437161,0.0003119504599962998,0.0004915729462275998
AOI-01,landsat,W2023_2024,14738,0.0013650952252453,0.000609735217302,0.0001351132243413,0.3619541472415132,0.6447416215787831,0.1053281495021411,-0.0054324123623114,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,0.0011912512338369,0.0005454480392644,0.0001568659178204,0.4483665539206619,0.7253228767299523,0.1027739267417286,-0.005341488255316,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,0.6514452435880038,-0.00014537294050840006,2.8471050899999892e-05,-4.907650197569994e-05,1.5210676061900024e-05,1.996745912769999e-05,-1.785234351399991e-06,-0.009544996947728798,-0.006990774187316293,0.0005244277721887002,0.00043350366519330063
AOI-01,landsat,W2022_2024,14738,0.0013724223382514,0.0005738149403587,7.480297583573888e-05,0.3550863763471589,0.6505171709492424,0.0986989982091235,-0.0051348132014611,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,0.0011928478935703,0.0005324806194597,0.0001362365282503,0.4468868305104131,0.7277454770254972,0.1008609592840067,-0.0052599606292766,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,0.6514452435880038,-0.00014821516687630004,3.1359277804800115e-05,-2.9256067449600015e-05,1.2078253449400033e-05,5.324746522356112e-05,-8.186087191000004e-06,-0.006009481338911105,-0.008171442413794291,0.00036824142151579975,0.0004933888493312997
AOI-01,modis,W2022,19878,0.0013974994908815,0.0005742492357957,0.000156116145249,0.3569199582033443,0.6717992420444419,0.0956840411553286,-0.0052895165780591,19714,0.0014037569395782,0.0005410276030743,9.589164980583136e-05,0.3407307982564471,0.6654250687974319,0.0850845063686924,-0.0047054379780037,19714,0.0013827106643184,0.0005721136404526,0.0001592946180584,0.3603512137355998,0.6723048553388795,0.0966738438452286,-0.0053462292774283,19714,0.0014037569395782,0.0005410276030743,9.589164980583136e-05,0.3407307982564471,0.6654250687974319,0.0850845063686924,-0.0047054379780037,19714,0.9917496730053326,6.257448696699985e-06,2.1046275259799805e-05,-3.322163272139996e-05,-3.108603737829994e-05,-6.022449544316865e-05,-6.340296825256863e-05,-0.010599534786636194,-0.011589337476536204,0.0005840786000553995,0.0006407912994245996
AOI-01,modis,W2023,19878,0.0014177528791645,0.0005203806900668,6.465544643525729e-05,0.3381450969537696,0.6830310593402389,0.0849947999759786,-0.0047553771080641,19714,0.0014088676538546,0.0004990877590444,3.539408937355919e-05,0.3359216039213991,0.6796639317879669,0.0818142507972776,-0.0045980798463686,19714,0.0013889924976338,0.0005209595588605,8.179544320937903e-05,0.3545259971001278,0.6863860692071108,0.0907488985147827,-0.005094112047038,19714,0.0014088676538546,0.0004990877590444,3.539408937355919e-05,0.3359216039213991,0.6796639317879669,0.0818142507972776,-0.0045980798463686,19714,0.9917496730053326,-8.885225309900003e-06,1.9875156220800112e-05,-2.129293102240003e-05,-2.1871799816099982e-05,-2.9261357061698096e-05,-4.6401353835819834e-05,-0.003180549178701003,-0.008934647717505101,0.00015729726169550016,0.0004960322006693999
AOI-01,modis,W2024,19878,0.0015301914218663,0.0004728336436292,-7.073827276235444e-05,0.2290020191971791,0.6684975744159392,0.0511098817215989,-0.0028150944328324,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,0.0014710862464752,0.0004763422597493,-3.411448779207706e-05,0.2759722268775306,0.6818175818012645,0.0638174420311025,-0.0035654022941035,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,0.9917496730053326,-1.8689078929699917e-05,4.04160964614e-05,2.8426997222000196e-06,-6.659163979000089e-07,8.552430425295756e-06,-2.807135454498162e-05,0.00011815767762130003,-0.012589402631882296,8.63319789199974e-06,0.0007589410591630997
AOI-01,modis,W2022_2023,19878,0.0014088636621423,0.0005436925003089,0.0001032394336561,0.3464186512238266,0.6773116880380224,0.0891504755802703,-0.004957849780149,19714,0.0014073432227546,0.0005183907871877,6.230365546306616e-05,0.3373579263000901,0.6722940262195224,0.082848814972403,-0.0046182593517428,19714,0.0013867897848517,0.0005440488700798,0.0001155672694918,0.356571604220389,0.6791224650211667,0.0928378262281159,-0.0051719883241891,19714,0.0014073432227546,0.0005183907871877,6.230365546306616e-05,0.3373579263000901,0.6722940262195224,0.082848814972403,-0.0046182593517428,19714,0.9917496730053326,-1.5204393876999157e-06,2.0553437902900117e-05,-2.5301713121200038e-05,-2.5658082892099994e-05,-4.093577819303383e-05,-5.326361402873383e-05,-0.006301660607867299,-0.009989011255712901,0.00033959042840620013,0.0005537289724462996
AOI-01,modis,W2023_2024,19878,0.0014734826564928,0.0004930812955601,-1.0024037016673304e-05,0.2850893423852669,0.6778159407140044,0.0668775275409987,-0.0037212072302103,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,0.0014282659814937,0.0004964454574425,1.9971609929313797e-05,0.3175086681525942,0.6850517491380265,0.0767913392058189,-0.0043046941636647,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,0.9917496730053326,-1.2916621353899942e-05,3.230005364519991e-05,-6.860614380199952e-06,-1.0224776262599965e-05,-6.945462676292534e-06,-3.6941109622279635e-05,-0.0013924958826040945,-0.011306307547424302,8.046455259699999e-05,0.0006639514860514004
AOI-01,modis,W2022_2024,19878,0.0014507230444003,0.0005119764291834,2.9472812236953387e-05,0.3070039899124258,0.6763311041706928,0.0739452694694675,-0.0041079391256634,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,0.0014144478595565,0.0005158895773286,5.5339450569689645e-05,0.3306506577831304,0.680827455963828,0.0816788995836632,-0.0045585470346912,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,0.9917496730053326,-7.072118957900065e-06,2.9203065885899816e-05,-1.2006737235599994e-05,-1.5919885380800015e-05,-1.765671704977695e-05,-4.352335538251321e-05,-0.0033345466758740033,-0.011068176790069703,0.00018760255884030068,0.0006382104678681003
AOI-01,sentinel2,W2022,19878,0.001324261768048,0.0003503229565036,-0.0001709651314889,0.4225566335891377,0.8388369819179768,0.073623000758823,-0.0021717558867151,19409,0.0013356244417826,0.0002990082224308,-0.0002150939735895,0.4012298254677032,0.8399322368496508,0.0773033446520107,-0.0025394257306161,19409,0.0012643381334472,0.0003125143218426,-0.0001661015977997,0.4634404648390513,0.8489222424866206,0.0828624580285343,-0.0025532985254751,19409,0.0013356244417826,0.0002990082224308,-0.0002150939735895,0.4012298254677032,0.8399322368496508,0.0773033446520107,-0.0025394257306161,19409,0.9764060770701278,1.1362673734600015e-05,7.128630833540001e-05,-5.13147340728e-05,-1.3506099411800016e-05,-4.4128842100599994e-05,-4.89923757898e-05,0.003680343893187707,-0.0055591133765235945,-0.000367669843901,1.3872794859000077e-05
AOI-01,sentinel2,W2023,19878,0.0013406903172037,0.000316081907719,-0.0002254337082259,0.4081404491105725,0.8477522178176599,0.0761335147128928,-0.0024567962966337,19409,0.0013354750127916,0.0002968420766248,-0.0002184730476986,0.4013637981850003,0.8398846313982713,0.0780082603585306,-0.0025849262746615,19409,0.0013158550916978,0.0002911847558153,-0.0002177452209811,0.4188241304099159,0.852594101785976,0.0780082603585306,-0.0025849262746615,19409,0.0013354750127916,0.0002968420766248,-0.0002184730476986,0.4013637981850003,0.8398846313982713,0.0780082603585306,-0.0025849262746615,19409,0.9764060770701278,-5.215304412099948e-06,1.961992109379999e-05,-1.923983109420002e-05,5.657320809500008e-06,6.960660527300012e-06,-7.278267174999945e-07,0.0018747456456378042,0.0,-0.00012812997802780007,0.0
