execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
multi_aoi-3fd42668df20ca8be9a0,multi_aoi,AOI-00,modis,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.780379+00:00,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
multi_aoi-4da35621bb9ba008581b,multi_aoi,AOI-00,modis,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.849169+00:00,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
multi_aoi-dd61b8e5102f6e674406,multi_aoi,AOI-00,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.916778+00:00,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
multi_aoi-2548119df2ac39ba86e4,multi_aoi,AOI-00,modis,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.993829+00:00,W2022_2023,COMPLETED,2022,16719,16719,0.0432923249057108,0.03422801137808378,0.004619790103813245,0.8163607630414369,0.9054831052867301,16719.0
multi_aoi-2548119df2ac39ba86e4,multi_aoi,AOI-00,modis,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.993829+00:00,W2022_2023,COMPLETED,2023,16719,16719,0.03836248963062476,0.029851603362962206,-0.0037868669612210124,0.8514595701484513,0.9244044005964843,16719.0
multi_aoi-e7cf62d64ebe5aa890e3,multi_aoi,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.120502+00:00,W2023_2024,COMPLETED,2023,16719,16719,0.04227319679818108,0.032995351815834795,-0.01816144487340588,0.8196312518232287,0.9243787344506998,16719.0
multi_aoi-e7cf62d64ebe5aa890e3,multi_aoi,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.120502+00:00,W2023_2024,COMPLETED,2024,16719,16719,0.045728167799907606,0.03736540767390744,0.018146797016293997,0.7569122528083023,0.8926223872960362,16719.0
multi_aoi-57467b4a18d0a1582c69,multi_aoi,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.258005+00:00,W2022_2024,COMPLETED,2022,33438,16719,0.04342706424955076,0.03475401423705266,-0.00408346823469272,0.8152158979866133,0.9054831052867303,16719.0
multi_aoi-57467b4a18d0a1582c69,multi_aoi,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.258005+00:00,W2022_2024,COMPLETED,2023,33438,16719,0.039664131436123934,0.030831660289857267,-0.011449910598910222,0.8412085898905357,0.9243826104896096,16719.0
multi_aoi-57467b4a18d0a1582c69,multi_aoi,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.258005+00:00,W2022_2024,COMPLETED,2024,33438,16719,0.045143784895485026,0.03679537993680752,0.01605079186533837,0.7630856302456815,0.8926347899836015,16719.0
multi_aoi-9e2f6cda3f3b3509c43d,multi_aoi,AOI-01,sentinel2,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.457567+00:00,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
multi_aoi-3fa9a0c892e31b86d751,multi_aoi,AOI-01,sentinel2,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.528890+00:00,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
multi_aoi-c974b893530fad9b2ace,multi_aoi,AOI-01,sentinel2,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.598146+00:00,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
multi_aoi-affc9c6500dfef269b29,multi_aoi,AOI-01,sentinel2,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.675227+00:00,W2022_2023,COMPLETED,2022,15310,15456,0.0012559502247142117,0.00035293183608012697,0.0001465835811291386,0.4352293375314418,0.7359782767123217,15456.0
multi_aoi-affc9c6500dfef269b29,multi_aoi,AOI-01,sentinel2,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.675227+00:00,W2022_2023,COMPLETED,2023,15456,15310,0.0015832622981275899,0.000639110337197668,0.00035043485381870655,0.33406795188429095,0.6702867355141711,15310.0
multi_aoi-2b11925fbb1288d1b83d,multi_aoi,AOI-01,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.798500+00:00,W2023_2024,COMPLETED,2023,15456,15310,0.0016077470619159059,0.000492401537539007,0.00016992497561657796,0.31331173632399023,0.689852812007414,15310.0
multi_aoi-2b11925fbb1288d1b83d,multi_aoi,AOI-01,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.798500+00:00,W2023_2024,COMPLETED,2024,15310,15456,0.0013722088690523032,0.0004161459728384629,0.00011535834391603512,0.3920375652700627,0.7454647849915058,15456.0
multi_aoi-f6ba22729ece71813088,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.928427+00:00,W2022_2024,COMPLETED,2022,30766,15456,0.0012863249224729968,0.00035128033163741174,0.00013592365829715909,0.40758146045083266,0.7270039351765036,15456.0
multi_aoi-f6ba22729ece71813088,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.928427+00:00,W2022_2024,COMPLETED,2023,30912,15310,0.0015902168103968453,0.0005560964128401222,0.0002492815213565288,0.32820486274623517,0.6804798585728135,15310.0
