sensor,aoi,window,slope,intercept,n,model_id,train_years,target_year,train_block_n,processing_hash,source_manifest_hash,aoi_geometry_hash,block_manifest_hash,code_version
landsat,AOI-03,W2022_2024,0.9060435273731696,-0.075066090621527,42959,multi_aoi-457fd1e47aad79344611,2022;2023;2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,57ca12641709501bb5f30118c491acefed62396c209537573d7eed1d5b0cca15,01a26d6bd2027252499854440f74cd91f849b7842c624201085745012e51f0bb,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-03,W2023,0.9643769491644604,-0.0749491052862718,11178,multi_aoi-6eebff4a27fbdf1ef135,2023,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,57ca12641709501bb5f30118c491acefed62396c209537573d7eed1d5b0cca15,01a26d6bd2027252499854440f74cd91f849b7842c624201085745012e51f0bb,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-03,W2023_2024,0.915046001927823,-0.072321761311474,26729,multi_aoi-0d9c4d047931ccf6e956,2023;2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,57ca12641709501bb5f30118c491acefed62396c209537573d7eed1d5b0cca15,01a26d6bd2027252499854440f74cd91f849b7842c624201085745012e51f0bb,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-03,W2024,0.8872859532100696,-0.071821972782521,15551,multi_aoi-7901b773558bbec52925,2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,57ca12641709501bb5f30118c491acefed62396c209537573d7eed1d5b0cca15,01a26d6bd2027252499854440f74cd91f849b7842c624201085745012e51f0bb,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-00,W2022,1.0173301013686742,-0.1292712163021439,20256,multi_aoi-3fd42668df20ca8be9a0,2022,2025,39,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-00,W2022_2023,0.9987877562275846,-0.1157767353605744,40512,multi_aoi-2548119df2ac39ba86e4,2022;2023,2025,39,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-00,W2022_2024,0.9752383787223315,-0.1057153983201129,60768,multi_aoi-57467b4a18d0a1582c69,2022;2023;2024,2025,39,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-00,W2023,0.977655307475334,-0.100192734703512,20256,multi_aoi-4da35621bb9ba008581b,2023,2025,39,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-00,W2023_2024,0.958794174558208,-0.0965155756754545,40512,multi_aoi-e7cf62d64ebe5aa890e3,2023;2024,2025,39,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-00,W2024,0.9366411712572598,-0.0907019204451208,20256,multi_aoi-dd61b8e5102f6e674406,2024,2025,39,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-01,W2022,0.0956840411553286,-0.0052895165780591,19878,multi_aoi-56f72ff5e981be70371d,2022,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-01,W2022_2023,0.0891504755802703,-0.004957849780149,39756,multi_aoi-4345171fab6f74744cb9,2022;2023,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-01,W2022_2024,0.0739452694694675,-0.0041079391256634,59634,multi_aoi-b80c98fb9760ee7383c0,2022;2023;2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-01,W2023,0.0849947999759786,-0.0047553771080641,19878,multi_aoi-1b3788664b1356720965,2023,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-01,W2023_2024,0.0668775275409987,-0.0037212072302103,39756,multi_aoi-41ad1ec1787b6534457c,2023;2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-01,W2024,0.0511098817215989,-0.0028150944328324,19878,multi_aoi-dfc8e0368af4eff139ab,2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-02,W2022,1.0786818787665444,-0.1323418794515132,18558,multi_aoi-b0a0121b8b97f5af972b,2022,2025,38,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,7418af55cae20a34b58eafb2985c4939c8fac1747c8ce9f0144dda0f812ea640,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-02,W2022_2023,1.0630927316723822,-0.1303987418442526,27583,multi_aoi-e4eb93cf7d4ec3749f43,2022;2023,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,7d066ffd64956f6bd7b0aa6e03fba448950b6ee43b72f2b6e4515d06f01600af,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-02,W2022_2024,1.071219151193047,-0.1320316438948811,45108,multi_aoi-0a35068846c28919d0c6,2022;2023;2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,7d066ffd64956f6bd7b0aa6e03fba448950b6ee43b72f2b6e4515d06f01600af,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
modis,AOI-02,W2023,1.0997951923976506,-0.1675155461141249,9553,multi_aoi-c9e27577761c00c8ac9b,2023,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,7d066ffd64956f6bd7b0aa6e03fba448950b6ee43b72f2b6e4515d06f01600af,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
