sensor,aoi,window,fold,slope,intercept,train_n,test_n,train_blocks,test_blocks,model_id,train_years,processing_hash,block_manifest_hash,verified_rmse
landsat,AOI-01,W2022,5,0.06808507440311504,-0.003524241172441285,11845,2928,23,5,multi_aoi-a6d91658f199c73b0c6a,2022,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.002380279102891434
landsat,AOI-01,W2022_2023,1,0.12290842915294567,-0.006374319149637577,24039,6190,23,5,multi_aoi-e961157ed39ff32391fa,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0008103921604884926
landsat,AOI-01,W2022_2023,2,0.11728078869639211,-0.006063207516591541,24055,6174,23,5,multi_aoi-e961157ed39ff32391fa,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0010911125021214067
landsat,AOI-01,W2022_2023,3,0.12973669561084566,-0.006801475695323223,24275,5954,23,5,multi_aoi-e961157ed39ff32391fa,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0008522443431442947
landsat,AOI-01,W2022_2023,4,0.11010683041741955,-0.00578196792483651,24306,5923,21,7,multi_aoi-e961157ed39ff32391fa,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0011038119145807455
landsat,AOI-01,W2022_2023,5,0.0685468500880657,-0.003504884557415678,24241,5988,22,6,multi_aoi-e961157ed39ff32391fa,2022;2023,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.002602171333083078
landsat,AOI-01,W2022_2024,1,0.11979958870883246,-0.006224229891042515,36345,9335,23,5,multi_aoi-2c09911f517b431148e3,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0006446770826524361
landsat,AOI-01,W2022_2024,2,0.12000465239332714,-0.0060801189869199475,36286,9394,23,5,multi_aoi-2c09911f517b431148e3,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0012141384763315823
landsat,AOI-01,W2022_2024,3,0.10912800267866953,-0.005649449168186019,36705,8975,21,7,multi_aoi-2c09911f517b431148e3,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.0010402198116153496
landsat,AOI-01,W2022_2024,4,0.0668606444726813,-0.0034212922477338138,36673,9007,22,6,multi_aoi-2c09911f517b431148e3,2022;2023;2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,0.002703836748381178
