sensor,aoi,window,full_slope,full_intercept,n,model_id,fold_n,slope_fold_min,slope_fold_max,slope_fold_median,slope_fold_iqr,slope_fold_sd,intercept_fold_min,intercept_fold_max,intercept_fold_median,intercept_fold_iqr,intercept_fold_sd
modis,AOI-02,W2024,1.0791666078148947,-0.1316870762599913,17909,multi_aoi-3bfa30fcb7508f09ea2f,5,1.0812525900920273,1.0922685346884495,1.0853938103497118,0.0052471117775905185,0.0043521105073161094,-0.1373953667258655,-0.13212210207281572,-0.13688765130694203,0.0033704530931605303,0.0023789325555183508
modis,AOI-03,W2022,0.9880589113373855,-0.1033880681769305,18858,multi_aoi-b76061afda8574ae309a,5,0.989349834081493,1.003647479512337,0.9961267303897817,0.005106859737508462,0.005568732019252678,-0.10665136343319484,-0.10213628879290107,-0.10472915664552107,0.0008234222814353931,0.001630069817277435
modis,AOI-03,W2022_2023,1.0134096080627302,-0.1051834560001221,36825,multi_aoi-ab2fb068dd8fef35c03c,5,1.0103420848601499,1.0225970359260041,1.017222974799724,0.005646314638790395,0.004888470582610155,-0.10726841438938164,-0.10412041559582269,-0.10553185193888134,0.0010787298428967251,0.001184021760031999
modis,AOI-03,W2022_2024,0.9696778135810632,-0.1014933143649762,55520,multi_aoi-7b37e5abe16164620cff,5,0.9598026355418001,0.97644816575028,0.9732328316088337,0.0013053873247567127,0.006575939318802547,-0.10308004196071191,-0.09822389423807523,-0.10207259551360631,0.00040220377123389994,0.0018956007023648049
modis,AOI-03,W2023,1.029526538347603,-0.1048292662599816,17967,multi_aoi-29ec68b91373506d8f24,5,1.0252964026297562,1.0382301537747838,1.029899589128872,0.006075298532285167,0.005140149079199269,-0.10603046098118529,-0.10332388025840619,-0.10460119784834013,0.0023173349592501835,0.001261156709191997
modis,AOI-03,W2023_2024,0.9656633406731696,-0.1016944172181998,36662,multi_aoi-b19400a0cc81aecb9fcb,5,0.9578378708315127,0.976250423957956,0.963442527123295,0.009384781121458685,0.007453271705796734,-0.10487897106782226,-0.09915026403873792,-0.10076839250637004,0.0021108870598218754,0.0022179377557592452
modis,AOI-03,W2024,0.942723602090946,-0.1077609596947245,18695,multi_aoi-57334b35ec7e973e17de,5,0.9368084274605367,0.9573002041505678,0.9444258305100917,0.0041853736894083005,0.007541774788493609,-0.11245900826386071,-0.10698765868904458,-0.10867384761777502,0.0017983110377324807,0.0021362515877915702
sentinel2,AOI-00,W2022,0.6763205577731803,0.129900026751047,18240,multi_aoi-a36834effcd97a6a8567,5,0.6566118043679564,0.704536591567687,0.6826304412983853,0.020503125268022337,0.01849397569947447,0.11874143027769501,0.1428027612839457,0.12824009602004216,0.011303590873787961,0.009457033851275004
sentinel2,AOI-00,W2022_2023,0.6930856764475416,0.1197604872931187,38486,multi_aoi-853e296141c6e0ccf1e5,5,0.6619709483302372,0.7111677551518657,0.6951694063362861,0.014134105312027856,0.01851071447799563,0.11360557218873324,0.14365600163281178,0.11739586624662401,0.009709874621770642,0.012313608301992478
sentinel2,AOI-00,W2022_2024,0.6639249242787757,0.1362606145153957,54305,multi_aoi-ab4af1fb4532921a54a6,5,0.6420491308997294,0.6751455957291798,0.6659494281978733,0.0025803419200931543,0.012500623828832587,0.13197510728965134,0.15220372662892961,0.1365827867811074,0.004487453637767758,0.008220542243388326
