AOI,sensor,quantile_configuration,NDVI_low,NDVI_high,target_evaluation_pairs,unique_target_identities,target_year,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,RMSE_DPM,MAE_DPM,Bias_DPM,R2_DPM,Pearson_r_DPM,n_DPM
AOI-02,modis,P5/P95,0.46292678266763687,0.7724021911621094,2190,1912,2025,110,110,0.0502283105022831,0.0502283105022831,0.1004566210045662,0.19329736416147472,0.1602845972654006,0.03862628506523048,-1.7975189330966477,0.8425997323428288,2190
AOI-02,modis,P10/P90,0.5078709423542023,0.7489378392696381,2190,1912,2025,219,219,0.1,0.1,0.2,0.23406744937580268,0.19862817440528105,0.021697169338611773,-3.102071404898024,0.8230412938952006,2190
AOI-02,sentinel2,P1/P99,0.07042734742164605,0.7968223857879638,12637,6334,2025,127,127,0.010049853604494738,0.010049853604494738,0.020099707208989476,0.1802534236470111,0.1557662292773983,0.1423711608745613,-0.13749402076321315,0.935448316651527,12637
AOI-02,sentinel2,P2/P98,0.0881005093455314,0.7813646960258485,12637,6334,2025,253,253,0.020020574503442273,0.020020574503442273,0.04004114900688455,0.18920979868816698,0.16370977631371741,0.14646702082827925,-0.2533412264244528,0.9349797859840429,12637
AOI-02,sentinel2,P5/P95,0.12418124824762336,0.7498549580574035,12637,6334,2025,632,632,0.05001186990583208,0.05001186990583208,0.10002373981166417,0.20960973315433465,0.18207351599168875,0.1563611325449469,-0.5381722362528523,0.9324273096682988,12637
AOI-02,sentinel2,P10/P90,0.21234093308448787,0.7177533388137818,12637,6334,2025,1264,1264,0.10002373981166417,0.10002373981166417,0.20004747962332833,0.22515402421294367,0.19462374155364198,0.1410687907128192,-0.7747676549726628,0.9177511113230761,12637
AOI-03,landsat,P1/P99,0.08344182454049578,0.5816768437623974,9322,5411,2025,94,94,0.010083673031538296,0.010083673031538296,0.020167346063076592,0.2198108702917442,0.18505260387945402,0.18320454167051733,-3.9306720171435803,0.9307574163215129,9322
AOI-03,landsat,P2/P98,0.09105376556515686,0.550204519033432,9322,5411,2025,187,187,0.020060072945719803,0.020060072945719803,0.040120145891439606,0.23531448740670172,0.19514141908687535,0.1925336682711473,-4.65073726410235,0.9291926260555085,9322
AOI-03,landsat,P5/P95,0.10551116913557046,0.47033766061067567,9322,5411,2025,467,467,0.05009654580562111,0.05009654580562111,0.10019309161124222,0.2874110281850827,0.23511665693038802,0.2302326126810544,-7.429748929839839,0.9146512975318514,9322
AOI-03,landsat,P10/P90,0.12246285676956174,0.37405075430870044,9322,5411,2025,933,933,0.10008581849388543,0.10008581849388543,0.20017163698777085,0.3787611555549346,0.3106171744642203,0.3022876549433613,-13.639918159406465,0.8608530297201041,9322
AOI-03,modis,P1/P99,0.1050810389965772,0.5710952746868133,12562,5956,2025,126,126,0.010030249960197421,0.010030249960197421,0.020060499920394843,0.22415015616148093,0.1952300820096784,0.19462201006411334,-3.6083567533209004,0.955659044112301,12562
AOI-03,modis,P2/P98,0.1132478305697441,0.5415799665451051,12562,5956,2025,252,252,0.020060499920394843,0.020060499920394843,0.040120999840789685,0.2391885384242695,0.20485390275924972,0.20361978604998276,-4.247455096417866,0.9544108121925498,12562
AOI-03,modis,P5/P95,0.12659734636545178,0.47377430349588384,12562,5956,2025,629,629,0.05007164464257284,0.05007164464257284,0.10014328928514568,0.28596780733969934,0.24114707446407377,0.23832485833372158,-6.500708567332355,0.9424192119042716,12562
AOI-03,modis,P10/P90,0.14717486351728437,0.37857159078121183,12562,5956,2025,1257,1257,0.10006368412673142,0.10006368412673142,0.20012736825346283,0.3813376775914733,0.31816436219773625,0.3121166768324613,-12.337899338868226,0.8857496836160942,12562
AOI-03,sentinel2,P1/P99,0.03442216452211135,0.5417349183559419,10590,6251,2025,106,106,0.010009442870632672,0.010009442870632672,0.020018885741265344,0.20565903265284005,0.17562549418096632,0.17299738689000566,-3.610934562346829,0.9004491625921823,10590
AOI-03,sentinel2,P2/P98,0.04369115270674224,0.48294328331947256,10590,6251,2025,212,212,0.020018885741265344,0.020018885741265344,0.04003777148253069,0.2368602383567819,0.19980251736482382,0.19644506450095117,-5.116144047609511,0.8975628923316168,10590
AOI-03,sentinel2,P5/P95,0.057993572950363115,0.37215247303247445,10590,6251,2025,530,530,0.05004721435316336,0.05004721435316336,0.10009442870632672,0.3259870990176238,0.27395027919373316,0.268872642608003,-10.58495117282661,0.8713960510720455,10590
AOI-03,sentinel2,P10/P90,0.07288574427366257,0.29794473052024845,10590,6251,2025,1059,1059,0.1,0.1,0.2,0.4159942209198781,0.3485126291985483,0.340183792041007,-17.86548506357615,0.8203258091830716,10590
