AOI,sensor,Sensor,target_year,quantile_configuration,lower_percentile,upper_percentile,NDVI_low,NDVI_high,endpoint_gap,target_evaluation_pairs,unique_target_identities,nominal_dates_pooled,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,RMSE,MAE,Bias,R2,Pearson_r,n,input_source
AOI-01,landsat,Landsat 8/9,2025,P2/P98,2,98,0.03837689317762846,0.07379117488861078,0.03541428171098232,14738,14738,3,295,295,0.020016284434794408,0.020016284434794408,0.040032568869588815,0.5020025636613074,0.4519251173148894,0.4519251173148894,-86284.50892743444,0.40060832313285594,14738,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,landsat,Landsat 8/9,2025,P5/P95,5,95,0.04187783189117902,0.06849252544343465,0.026614693552255632,14738,14738,3,737,737,0.05000678518116434,0.05000678518116434,0.10001357036232868,0.5393603575406333,0.46770869333784587,0.46770869333784587,-99604.66540170692,0.35965068319671184,14738,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,landsat,Landsat 8/9,2025,P10/P90,10,90,0.04455375149846072,0.06432385146617886,0.01977009996771814,14738,14738,3,1474,1474,0.10001357036232868,0.10001357036232868,0.20002714072465735,0.5843288727451832,0.4891321920597276,0.4891316492452087,-116906.0460613346,0.3111911374075392,14738,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,modis,MODIS,2025,P1/P99,1,99,0.04321985449641936,0.0838610455393791,0.04064119104295975,19878,19878,3,199,198,0.010011067511822114,0.00996076063990341,0.019971828151725525,0.430312700519638,0.38158584412794777,0.38158584412794777,-60970.944165668996,0.4695808650765571,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,modis,MODIS,2025,P2/P98,2,98,0.045218136832118005,0.07909251004457471,0.033874373212456704,19878,19878,3,398,398,0.02002213502364423,0.02002213502364423,0.04004427004728846,0.4602062893654672,0.39769903193657674,0.39769903193657674,-69736.57056541729,0.4358543879128001,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,modis,MODIS,2025,P5/P95,5,95,0.047207523137331,0.0735682301223278,0.026360706984996797,19878,19878,3,993,994,0.04995472381527317,0.05000503068719187,0.09995975450246504,0.5135084362368406,0.4314045784540794,0.431404175999085,-86826.41676134674,0.3790348796765551,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-01,modis,MODIS,2025,P10/P90,10,90,0.048773731663823074,0.06958971247076984,0.020815980806946764,19878,19878,3,1988,1988,0.10001006137438374,0.10001006137438374,0.2000201227487675,0.5627141003246973,0.4630137852065791,0.46301298029659016,-104263.70290174561,0.3247840841878251,19878,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,sentinel2,Sentinel-2,2025,P1/P99,1,99,0.07076966293156144,0.8029259586334225,0.7321562957018611,18534,18534,3,186,186,0.010035610229847848,0.010035610229847848,0.020071220459695695,0.18003465544546748,0.15596130853190032,0.1429300399631854,-0.11815333070964451,0.9392304962915059,18534,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,sentinel2,Sentinel-2,2025,P2/P98,2,98,0.08810562968254083,0.7865415680408478,0.698435938358307,18534,18534,3,371,371,0.020017265565986837,0.020017265565986837,0.04003453113197367,0.19006461115528067,0.1650034221505597,0.14825871317267514,-0.2462112313472815,0.9388149950286734,18534,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
AOI-02,sentinel2,Sentinel-2,2025,P5/P95,5,95,0.12316125594079493,0.7575427860021591,0.6343815300613641,18534,18534,3,927,927,0.05001618646811266,0.05001618646811266,0.10003237293622531,0.20870765279403464,0.18185128501286651,0.1569375826697689,-0.5026778532989975,0.9364641729768987,18534,publication/new_experiments/08_scientific_execution/raw_machine_outputs/paired_observations.csv.gz
