aerosol_mode,AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
primary_no_aerosol_filter,AOI-03,landsat,R2025-H2,2025,2,14402,14402,0.037714332502368594,0.029040264709949404,0.013033995780367407,0.8608624274020507,0.9371285156581729,0.9150460019278217,-0.07232176131147369,14402,14402,0.037714332502368594,0.029040264709949404,0.013033995780367407,0.8608624274020507,0.9371285156581729,0.9150460019278217,-0.07232176131147369,14402,14402,0.037714332502368594,0.029040264709949404,0.013033995780367407,0.8608624274020507,0.9371285156581729,0.9150460019278217,-0.07232176131147369,14402,14402,0.037714332502368594,0.029040264709949404,0.013033995780367407,0.8608624274020507,0.9371285156581729,0.9150460019278217,-0.07232176131147369,14402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-03,landsat,R2025-H3,2025,3,14402,14402,0.03624529886394073,0.02723168908063038,0.00819136911345552,0.8714905865617243,0.9372000064427635,0.906043527373169,-0.07506609062152686,14402,14402,0.03624529886394073,0.02723168908063038,0.00819136911345552,0.8714905865617243,0.9372000064427635,0.906043527373169,-0.07506609062152686,14402,14402,0.03624529886394073,0.02723168908063038,0.00819136911345552,0.8714905865617243,0.9372000064427635,0.906043527373169,-0.07506609062152686,14402,14402,0.03624529886394073,0.02723168908063038,0.00819136911345552,0.8714905865617243,0.9372000064427635,0.906043527373169,-0.07506609062152686,14402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exclude_high_aerosol,AOI-00,landsat,R2024-H1,2024,1,20186,20186,0.053372821640600185,0.04341159041091878,0.022798545199474274,0.667898639718175,0.854214516503916,0.8544793879372247,0.0011015203776354454,20103,20103,0.052263119796012975,0.04217638605951935,0.02393644107830012,0.6762551333820376,0.8652149973849675,0.9598886930604591,-0.07551950952308939,20103,20103,0.053192763391794816,0.04327049595175692,0.022926874761038312,0.6646353100784461,0.8532352350795784,0.8526606567240405,0.002201355557090001,20103,20103,0.052263119796012975,0.04217638605951935,0.02393644107830012,0.6762551333820376,0.8652149973849675,0.9598886930604591,-0.07551950952308939,20103,0.9958882393738234,-0.0011097018445872103,-0.0009296435957818414,-0.001235204351399427,-0.0010941098922375714,0.0011378958788258453,0.001009566317261807,0.10540930512323443,0.10722803633641864,-0.07662102990072484,-0.07772086508017939
exclude_high_aerosol,AOI-00,landsat,R2024-H2,2024,2,20186,20186,0.05223999101389104,0.04243817178459475,0.019272511210011566,0.6818466390847548,0.8542145165039166,0.8860855093515932,-0.022550811709008967,20103,20103,0.052360262849222336,0.04222267654795591,0.02325387304354536,0.6750505059866898,0.8652440202796773,0.9921423922874258,-0.09711639164753849,20103,20103,0.05204013144033201,0.04228532022569245,0.01934661672126597,0.679011850861821,0.8532352350795783,0.8866576043746707,-0.023050437208930297,20103,20103,0.052360262849222336,0.04222267654795591,0.02325387304354536,0.6750505059866898,0.8652440202796773,0.9921423922874258,-0.09711639164753849,20103,0.9958882393738234,0.00012027183533129537,0.00032013140889032565,-0.00021549523663883657,-6.264367773654161e-05,0.003981361833533793,0.0039072563222793885,0.1060568829358326,0.10548478791275517,-0.07456557993852952,-0.0740659544386082
exclude_high_aerosol,AOI-00,landsat,R2024-H3,2024,3,20186,20186,0.0519406826048345,0.042224999406104066,0.01914394081990229,0.6854819068708957,0.8542145165039162,0.8582634149850386,-0.004962694955891744,20103,20103,0.0509918874194609,0.04106326691854229,0.021117090152563682,0.691812937371064,0.8652153500522495,0.9558954173414428,-0.07575023568433781,20103,20103,0.0516825532224103,0.042025452740494754,0.01906595307090916,0.6834078442820601,0.8532352350795783,0.8586213582622136,-0.005459246966295517,20103,20103,0.0509918874194609,0.04106326691854229,0.021117090152563682,0.691812937371064,0.8652153500522495,0.9558954173414428,-0.07575023568433781,20103,0.9958882393738234,-0.0009487951853735938,-0.0006906658029493945,-0.0011617324875617743,-0.0009621858219524618,0.001973149332661392,0.0020511370816545214,0.09763200235640423,0.09727405907922915,-0.07078754072844606,-0.07029098871804229
exclude_high_aerosol,AOI-00,landsat,R2025-H1,2025,1,20251,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20233,20233,0.05414522508819731,0.04269423113285784,-0.02736822481543106,0.6947069553295366,0.8809773654165413,0.8912222639601058,-0.0549407355732392,20233,20233,0.05468366711279135,0.043523904656055025,-0.02682270399435418,0.6886048494332747,0.8745814130764226,0.8211354109508957,-0.0006295839586103469,20233,20233,0.05414522508819731,0.04269423113285784,-0.02736822481543106,0.6947069553295366,0.8809773654165413,0.8912222639601058,-0.0549407355732392,20233,0.9991111550046912,-0.00044626190112261044,-0.0005384420245940422,-0.0007611216533272916,-0.000829673523197183,-0.0007472657881252738,-0.0005455208210768808,0.06987983839196288,0.07008685300921014,-0.05434482511882288,-0.05431115161462885
exclude_high_aerosol,AOI-00,landsat,R2025-H2,2025,2,20251,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20233,20233,0.04888240974645764,0.03883664335848652,-0.015174020927530885,0.7511705398363878,0.8809773654165425,0.9207354061488008,-0.06240733848904634,20233,20233,0.04997859790071311,0.04028246460381789,-0.015326515575730094,0.7398854058293706,0.8745814130764216,0.8344816018502442,0.0020907609054342524,20233,20233,0.04888240974645764,0.03883664335848652,-0.015174020927530885,0.7511705398363878,0.8809773654165425,0.9207354061488008,-0.06240733848904634,20233,0.9991111550046912,-0.0010440630981176924,-0.0010961881542554675,-0.0014069267252381848,-0.0014458212453313662,-2.113756596576477e-05,0.00015249464819920913,0.08513989000324251,0.08625380429855656,-0.06391037803864952,-0.06449809939448059
exclude_high_aerosol,AOI-00,landsat,R2025-H3,2025,3,20251,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20233,20233,0.04784805993256071,0.03809775230091068,-0.011779297119632465,0.7615895705997472,0.8809773654165427,0.944690974848367,-0.0749711258103194,20233,20233,0.049464173473420865,0.03982977132324544,-0.01374722368366642,0.745212512400151,0.8745814130764216,0.8576390998000678,-0.011557256676478445,20233,20233,0.04784805993256071,0.03809775230091068,-0.011779297119632465,0.7615895705997472,0.8809773654165427,0.944690974848367,-0.0749711258103194,20233,0.9991111550046912,-0.0015677387183711602,-0.0016161135408601576,-0.0017030316962768147,-0.0017320190223347603,0.0017855346150759538,0.001967926564033955,0.08721398880221742,0.08705187504829914,-0.06367865294161301,-0.06341386913384095
exclude_high_aerosol,AOI-01,landsat,R2024-H1,2024,1,19872,19872,0.0011672634524432326,0.00043329393839509217,0.00022542268807187318,0.45027634452663334,0.7349565179115086,0.10954021202802719,-0.005685602641599043,18783,18783,0.0013036072491996642,0.0004349035858487668,0.00019648165281875406,0.30530033547755686,0.618335831049118,0.09507975213881209,-0.004919494844733405,18783,18783,0.0011460273246964073,0.0004464342762509971,0.00024345511877763636,0.46309988042781947,0.7473910567843686,0.10962570916316015,-0.005691824312833019,18783,18783,0.0013036072491996642,0.0004349035858487668,0.00019648165281875406,0.30530033547755686,0.618335831049118,0.09507975213881209,-0.004919494844733405,18783,0.9451992753623188,0.0001363437967564316,0.00015757992450325686,1.6096474536746218e-06,-1.1530690402230333e-05,-2.894103525311913e-05,-4.6973465958882304e-05,-0.0144604598892151,-0.014545957024348063,0.000766107796865638,0.0007723294680996142
exclude_high_aerosol,AOI-01,landsat,R2024-H2,2024,2,19872,19872,0.0011817737260908703,0.00038138816928051845,0.00015463462183984392,0.4365241456741198,0.745212227769269,0.09823332194897147,-0.005151154769054033,18783,18783,0.0013196945034996703,0.00037801785784943593,0.00011927880800465131,0.28804856260416667,0.6276544686497062,0.08149230768159851,-0.004255522705834942,18783,18783,0.0011544378711265681,0.00039125691263605953,0.00017072125129882808,0.45519048232783466,0.759283690943198,0.09992009909002054,-0.00524971009514417,18783,18783,0.0013196945034996703,0.00037801785784943593,0.00011927880800465131,0.28804856260416667,0.6276544686497062,0.08149230768159851,-0.004255522705834942,18783,0.9451992753623188,0.00013792077740880002,0.00016525663237310214,-3.370311431082518e-06,-1.3239054786623602e-05,-3.535581383519261e-05,-5.144244329417677e-05,-0.016741014267372956,-0.01842779140842203,0.0008956320632190909,0.0009941873893092278
