aerosol_mode,AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
valid_retrieval_no_high,AOI-01,landsat,W2022_2023,14738,0.0013713010198709208,0.0005540147435389917,4.798856368002937e-05,0.3561397810590149,0.6558753778521146,0.09823332194897147,-0.005151154769054033,9498,0.0012886241637004524,0.0005552762846752376,3.083201069126937e-05,0.3651489226356065,0.7061219510861925,0.07699239799495439,-0.0040350315382681155,9498,0.0011802717247315065,0.0005677064288498874,0.00012040307078870947,0.4674218736433071,0.7474485249330414,0.10103709980364853,-0.00531522994086762,9498,0.0012886241637004524,0.0005552762846752376,3.083201069126937e-05,0.3651489226356065,0.7061219510861925,0.07699239799495439,-0.0040350315382681155,9498,0.6444565069887366,-8.267685617046835e-05,0.00010835243896894597,1.2615411362459613e-06,-1.2430144174649773e-05,-1.7156552988760004e-05,-8.95710600974401e-05,-0.021240923954017082,-0.02404470180869414,0.0011161232307859174,0.0012801984025995047
valid_retrieval_no_high,AOI-01,landsat,W2023_2024,14738,0.0013650952252453098,0.0006097352173020437,0.00013511322434132223,0.3619541472415131,0.6447416215787849,0.1053281495021411,-0.005432412362311486,9498,0.0012571547915300391,0.0006155660023574031,0.0001395163288464628,0.3957775892047929,0.6983090121478668,0.09023570516279443,-0.004674479500234584,9498,0.001182227057564782,0.0006181885641650119,0.00019641495616012816,0.465655788628504,0.7373732908119407,0.10536413272633353,-0.005461632853167068,9498,0.0012571547915300391,0.0006155660023574031,0.0001395163288464628,0.3957775892047929,0.6983090121478668,0.09023570516279443,-0.004674479500234584,9498,0.6444565069887366,-0.00010794043371527067,7.492773396525708e-05,5.830785055359442e-06,-2.6225618076087653e-06,4.4031045051405625e-06,-5.6898627313665365e-05,-0.015092444339346672,-0.015128427563539104,0.0007579328620769014,0.0007871533529324841
valid_retrieval_no_high,AOI-01,landsat,W2022_2024,14738,0.001372422338251498,0.0005738149403587612,7.480297583573804e-05,0.3550863763471588,0.6505171709492439,0.09869899820912345,-0.005134813201461102,9498,0.0012803470687540023,0.0005725674561972091,6.006079788560802e-05,0.3732782852781874,0.7029804652516178,0.07996798189847153,-0.004171627239291591,9498,0.0011863942547758967,0.0005817998254864401,0.0001358656778939941,0.46188216132257465,0.7432815799565211,0.09993152738846514,-0.005225434679120429,9498,0.0012803470687540023,0.0005725674561972091,6.006079788560802e-05,0.3732782852781874,0.7029804652516178,0.07996798189847153,-0.004171627239291591,9498,0.6444565069887366,-9.207526949749577e-05,9.395281397810563e-05,-1.2474841615521147e-06,-9.232369289231e-06,-1.4742177950130023e-05,-7.580488000838608e-05,-0.018731016310651924,-0.019963545489993614,0.0009631859621695117,0.0010538074398288386
valid_retrieval_no_high,AOI-02,landsat,W2022,7600,0.05642310551500826,0.04348660536374909,0.0022533289255757503,0.8639456084714267,0.9296188720290792,0.9778134552518177,-0.0789307780039249,4584,0.07873285563433513,0.056652323068043464,0.02921368461853925,0.6439020434931318,0.8327328394498312,0.996376953680972,-0.11359537803584147,4584,0.05045534603622599,0.039231336203658686,0.010437777967967509,0.8537580893779275,0.9275357876148577,0.9763421006092744,-0.0780058789115306,4584,0.07873285563433513,0.056652323068043464,0.02921368461853925,0.6439020434931318,0.8327328394498312,0.996376953680972,-0.11359537803584147,4584,0.6031578947368421,0.02230975011932687,0.028277509598109138,0.013165717704294373,0.01742098686438478,0.0269603556929635,0.018775906650571744,0.01856349842915428,0.02003485307169761,-0.03466460003191657,-0.035589499124310864
valid_retrieval_no_high,AOI-02,landsat,W2023,7600,0.06222378910802781,0.04843737970494634,0.02535824638622097,0.834532959139618,0.9296188720290793,1.0328370889095944,-0.08795051082679384,4584,0.07950750026187921,0.0572158983735368,0.030310836860902853,0.6368603480353295,0.8327514236613414,1.0424529777982543,-0.14223749697714438,4584,0.054594019573855616,0.04224653946921386,0.0216026232036345,0.8287827108802648,0.9275357876148571,1.0293351383120708,-0.09878555493187535,4584,0.07950750026187921,0.0572158983735368,0.030310836860902853,0.6368603480353295,0.8327514236613414,1.0424529777982543,-0.14223749697714438,4584,0.6031578947368421,0.017283711153851397,0.02491348068802359,0.00877851866859046,0.014969358904322938,0.004952590474681884,0.008708213657268354,0.00961588888865994,0.013117839486183502,-0.05428698615035055,-0.04345194204526903
valid_retrieval_no_high,AOI-02,landsat,W2024,7600,0.058322397534448206,0.04488035725039942,0.014264307424891973,0.8546318277236516,0.9296188720290788,1.0145689898668875,-0.08837891837771922,4584,0.07336535058616363,0.05506294512861181,0.006785964062529515,0.690800011725093,0.8327398116395316,0.973782316989793,-0.12144675216307349,4584,0.050268811114590355,0.03903836204495569,0.008680553639008052,0.8548374119641354,0.9275357876148573,0.9934049706951706,-0.0900487037603998,4584,0.07336535058616363,0.05506294512861181,0.006785964062529515,0.690800011725093,0.8327398116395316,0.973782316989793,-0.12144675216307349,4584,0.6031578947368421,0.015042953051715421,0.023096539471573273,0.010182587878212392,0.01602458308365612,-0.007478343362362458,-0.0018945895764785371,-0.040786672877094476,-0.019622653705377635,-0.03306783378535427,-0.031398048402673684
valid_retrieval_no_high,AOI-02,landsat,W2022_2023,7600,0.0571346197442864,0.043949884408055584,0.00913945761186806,0.8604925902778103,0.929618872029079,0.9954864633534535,-0.08236274659659193,4584,0.07886405571401925,0.05675450837054082,0.02916772685453127,0.6427142545590437,0.8327418010393197,1.0204957167051083,-0.12920769789774267,4584,0.05118139014730409,0.039691691543071526,0.013140667056419041,0.8495190134852837,0.9275357876148574,0.9889880831665586,-0.08292606402520208,4584,0.07886405571401925,0.05675450837054082,0.02916772685453127,0.6427142545590437,0.8327418010393197,1.0204957167051083,-0.12920769789774267,4584,0.6031578947368421,0.021729435969732848,0.027682665566715156,0.012804623962485238,0.017062816827469296,0.02002826924266321,0.01602705979811223,0.025009253351654825,0.031507633538549684,-0.04684495130115074,-0.046281633872540584
valid_retrieval_no_high,AOI-02,landsat,W2023_2024,7600,0.062195023735876785,0.048449109866970284,0.025602732658025037,0.8346859109573714,0.9296188720290798,1.0243341535316366,-0.0827417245398524,4584,0.0756212611915887,0.055162553209994594,0.01953358088895979,0.6714924868109674,0.8327323088447163,0.9764685815223417,-0.11042944796779597,4584,0.05049164666955549,0.03928834978818863,0.01077545916667389,0.8535475830953245,0.9275357876148577,0.9688563498368709,-0.07315574220862442,4584,0.0756212611915887,0.055162553209994594,0.01953358088895979,0.6714924868109674,0.8327323088447163,0.9764685815223417,-0.11042944796779597,4584,0.6031578947368421,0.013426237455711913,0.02512961452203321,0.00671344334302431,0.01587420342180596,-0.006069151769065247,0.0087581217222859,-0.047865572009294866,0.007612231685470872,-0.027687723427943567,-0.03727370575917155
valid_retrieval_no_high,AOI-02,landsat,W2022_2024,7600,0.057400593643264226,0.04419814090768831,0.010745809036536647,0.8591906932319451,0.9296188720290789,0.9920488741735304,-0.0787494148457919,4584,0.0743916825802532,0.05485365918051699,0.014011276110322933,0.6820885004293205,0.8327364954414983,0.980676468606921,-0.11866857638969824,4584,0.04955250178421881,0.03871769257866132,0.004887546533087308,0.858944947790778,0.9275357876148572,0.9606749428460535,-0.0741118535933753,4584,0.0743916825802532,0.05485365918051699,0.014011276110322933,0.6820885004293205,0.8327364954414983,0.980676468606921,-0.11866857638969824,4584,0.6031578947368421,0.016991088936988967,0.024839180796034387,0.010655518272828679,0.01613596660185567,0.0032654670737862854,0.009123729577235624,-0.011372405566609345,0.020001525760867556,-0.039919161543906345,-0.044556722796322945
valid_retrieval_no_high,AOI-03,landsat,W2022,14402,0.03525327081797775,0.025386190696769027,8.771279047053576e-05,0.878428883387998,0.9373203389781678,0.8794830332519243,-0.0769441523345688,13217,0.03586150064232016,0.025754072543494856,0.0025052626715100458,0.8738717858343779,0.9351623357668192,0.8612796298982464,-0.07427160179110742,13217,0.034402034400461814,0.024946417014866912,0.0007969638915195403,0.8839290389136081,0.9402713031133474,0.8831381412233739,-0.0777675370134997,13217,0.03586150064232016,0.025754072543494856,0.0025052626715100458,0.8738717858343779,0.9351623357668192,0.8612796298982464,-0.07427160179110742,13217,0.9177197611442856,0.0006082298243424086,0.0014594662418583454,0.0003678818467258288,0.0008076555286279444,0.00241754988103951,0.0017082987799905054,-0.018203403353677983,-0.021858511325127505,0.0026725505434613828,0.003495935222392277
