execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,history_length_rank_by_global_RMSE
rolling_origin-ffc88af5bfa3b14e1e8c,rolling_origin,AOI-01,sentinel2,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.735416+00:00,R2024-H3,3,19878,35,0.0012558276218619594,0.0003945561781271218,0.0001318545960316553,0.36350346225029695,0.7195757572646169,19878,1.0
rolling_origin-b6c52692cf48be1ae45e,rolling_origin,AOI-01,sentinel2,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.761755+00:00,R2025-H1,1,19878,35,0.0013951338201383312,0.00032595071153869004,-0.0002328025825148485,0.35909531213758494,0.8470703341120515,19878,3.0
rolling_origin-f5bd6d07f7976de0dbbf,rolling_origin,AOI-01,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.790269+00:00,R2025-H2,2,19878,35,0.0013658898120329913,0.0003207465893720884,-0.00022872737577569834,0.38568227531703714,0.8475791954719489,19878,2.0
rolling_origin-cd3a82bce60aaa0c1512,rolling_origin,AOI-01,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.822916+00:00,R2025-H3,3,19878,35,0.0013568861977573923,0.00032877467150374973,-0.0002134852983773004,0.39375444924926095,0.8460051752069516,19878,1.0
rolling_origin-dcae383708c42d8c5e33,rolling_origin,AOI-01,landsat,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.892953+00:00,R2024-H1,1,19872,35,0.001167263452443233,0.00043329393839509244,0.00022542268807187335,0.4502763445266329,0.7349565179115117,19872,1.0
rolling_origin-bde86f10613872b2c966,rolling_origin,AOI-01,landsat,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.921512+00:00,R2024-H2,2,19872,35,0.0011817737260908703,0.0003813881692805187,0.0001546346218398443,0.4365241456741199,0.7452122277692741,19872,3.0
rolling_origin-0229cb90eed163fe1754,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.953310+00:00,R2024-H3,3,19872,35,0.0011809444966472103,0.00035918725558190673,0.0001280057962282033,0.43731463005897453,0.7532417502327515,19872,2.0
rolling_origin-8dba7896042634100b38,rolling_origin,AOI-01,landsat,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.979362+00:00,R2025-H1,1,14738,35,0.001375221648064254,0.0006170496079467353,0.0001349960854972197,0.35245285149110284,0.6404183852649107,14738,3.0
rolling_origin-ba6abeab42dffea2ea57,rolling_origin,AOI-01,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:47.007954+00:00,R2025-H2,2,14738,35,0.0013650952252453096,0.0006097352173020438,0.0001351132243413226,0.3619541472415132,0.6447416215787831,14738,1.0
rolling_origin-5432cebe5b4fb27e3d62,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:47.039428+00:00,R2025-H3,3,14738,35,0.001372422338251498,0.0005738149403587615,7.480297583573888e-05,0.3550863763471589,0.6505171709492424,14738,2.0
