Sensor,AOI,sensor,history,train_years,slope,intercept,train_n,training_FCOVER_mean,n,RMSE,MAE,Bias,R2,Pearson_r,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
MODIS,AOI-01,modis,W2022_2023,2022;2023,0.0891504755803,-0.00495784978015,39756,0.00016228997332,19878,0.00140886366214,0.000543692500309,0.000103239433656,0.346418651224,0.677311688038,0.375238957642,0,0.375238957642,0.000277702877895,0.000448344588529,6.46755808841e-07,3.66580365422e-07,0.00146354621935,0.000714334210943,-6.74022769775e-05,0.294698838614,0.55165869981,0.00140886366214,0.000543692500309,0.000103239433656,0.346418651224,0.677311688038,5.46825572052e-05
MODIS,AOI-01,modis,W2023_2024,2023;2024,0.066877527541,-0.00372120723021,39756,0.000183921929203,19878,0.00147348265649,0.00049308129556,-1.00240370167e-05,0.285089342385,0.677815940714,0.376194788208,0,0.376194788208,0.000206318840757,0.000335081117856,3.63959807951e-07,2.05786438727e-07,0.00150339851939,0.000621843572659,-0.000138786314115,0.255765238544,0.55165869981,0.00147348265649,0.00049308129556,-1.00240370167e-05,0.285089342385,0.677815940714,2.99158629005e-05
MODIS,AOI-01,modis,W2022_2024,2022;2023;2024,0.0739452694695,-0.00410793912566,59634,0.000169232322018,19878,0.0014507230444,0.000511976429183,2.9472812237e-05,0.307003989912,0.676331104171,0.372723614046,0,0.372723614046,0.000234655230685,0.000374577967109,4.44952653736e-07,2.534040341e-07,0.00148712804647,0.000651899165608,-0.000110449924188,0.271786973971,0.55165869981,0.0014507230444,0.000511976429183,2.9472812237e-05,0.307003989912,0.676331104171,3.64050020726e-05
Sentinel-2,AOI-02,sentinel2,W2022,2022,0.872081558497,0.0049346707807,18847,0.463904494923,18534,0.0605503260564,0.0467095002392,-0.0160328108435,0.873519926224,0.939412039286,0,0,0,0.465214411255,0.465214411255,0.0261488706699,0.0261488706699,0.0605503260564,0.0467095002392,-0.0160328108435,0.873519926224,0.939412039286,0.0605503260564,0.0467095002392,-0.0160328108435,0.873519926224,0.939412039286,0
Sentinel-2,AOI-02,sentinel2,W2023,2023,0.881216268257,0.0317363714769,7586,0.504480886667,18534,0.0605077659737,0.0470411949172,0.0155901382747,0.873697666326,0.939412039286,0,0,0,0.496837360374,0.496837360374,0.0266995378319,0.0266995378319,0.0605077659737,0.0470411949172,0.0155901382747,0.873697666326,0.939412039286,0.0605077659737,0.0470411949172,0.0155901382747,0.873697666326,0.939412039286,0
Sentinel-2,AOI-02,sentinel2,W2024,2024,0.858853649473,0.0332651943616,18284,0.523575804524,18534,0.0586081241975,0.0453224319548,0.00531609677107,0.881503702338,0.939412039286,0,0,0,0.48656331887,0.48656331887,0.0253616241623,0.0253616241623,0.0586081241975,0.0453224319548,0.00531609677107,0.881503702338,0.939412039286,0.0586081241975,0.0453224319548,0.00531609677107,0.881503702338,0.939412039286,0
Sentinel-2,AOI-02,sentinel2,W2022_2023,2022;2023,0.876708509718,0.0114010673304,26061,0.473817582654,18534,0.058854149334,0.0452572767896,-0.00712433546931,0.880506766928,0.939412039286,0,0,0,0.47412288663,0.47412288663,0.0264270797695,0.0264270797695,0.058854149334,0.0452572767896,-0.00712433546931,0.880506766928,0.939412039286,0.058854149334,0.0452572767896,-0.00712433546931,0.880506766928,0.939412039286,0
Sentinel-2,AOI-02,sentinel2,W2023_2024,2023;2024,0.861846901067,0.0342253649646,25498,0.515742254906,18534,0.058888992705,0.0455779273303,0.00785608872651,0.880365238095,0.939412039286,0,0,0,0.489103310825,0.489103310825,0.0255387113951,0.0255387113951,0.058888992705,0.0455779273303,0.00785608872651,0.880365238095,0.939412039286,0.058888992705,0.0455779273303,0.00785608872651,0.880365238095,0.939412039286,0
Sentinel-2,AOI-02,sentinel2,W2022_2024,2022;2023;2024,0.871556658928,0.0186985409461,43973,0.492837969456,18534,0.0584417571153,0.0450129782799,-0.00254597971776,0.882175483027,0.939412039286,0,0,0,0.478701242381,0.478701242381,0.0261174025115,0.0261174025115,0.0584417571153,0.0450129782799,-0.00254597971776,0.882175483027,0.939412039286,0.0584417571153,0.0450129782799,-0.00254597971776,0.882175483027,0.939412039286,0
Landsat 8/9,AOI-02,landsat,W2022,2022,0.977813455252,-0.0789307780039,15357,0.48091424195,7600,0.056423105515,0.0434866053637,0.00225332892558,0.863945608471,0.929618872029,0,0,0,0.491949645631,0.491949645631,0.0199892320094,0.0199892320094,0.056423105515,0.0434866053637,0.00225332892558,0.863945608471,0.929618872029,0.056423105515,0.0434866053637,0.00225332892558,0.863945608471,0.929618872029,0
