model,Sensor,AOI,sensor,configuration,history,n,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
DPM,Landsat 8/9,AOI-01,landsat,P1/P99,NA,14738,0.0100420681232,0.0100420681232,0.0200841362464,0.450323736899,0.450081741286,0.0477951963805,0.0341838169255,0.499861671532,0.456041461347,0.449942681109,-85550.1140248,0.515019921234,0.485953074062,0.449700685496,0.449700685496,-80855.4486386,0.422592342146,0.0139085974702
DPM,Landsat 8/9,AOI-01,landsat,P2/P98,NA,14738,0.0200162844348,0.0200162844348,0.0400325688696,0.453018569943,0.452306173105,0.072509018619,0.0480675431986,0.526230604352,0.463133312206,0.452637514152,-94814.2509864,0.515019921234,0.502002563661,0.451925117315,0.451925117315,-86284.5089274,0.400608323133,0.0242280406904
DPM,Landsat 8/9,AOI-01,landsat,P5/P95,NA,14738,0.0500067851812,0.0500067851812,0.100013570362,0.471258048419,0.468089749128,0.128382539632,0.0724862129145,0.591168226208,0.49350896956,0.470876992629,-119658.769657,0.515019921234,0.539360357541,0.467708693338,0.467708693338,-99604.6654017,0.359650683197,0.0518078686675
DPM,Landsat 8/9,AOI-01,landsat,P10/P90,NA,14738,0.100013570362,0.100013570362,0.200027140725,0.499060143931,0.489512705036,0.232665061563,0.102528117927,0.693180870684,0.548648339451,0.498679088141,-164519.163858,0.515019921234,0.584328872745,0.48913219206,0.489131649245,-116906.046061,0.311191137408,0.108851997939
DPM,MODIS,AOI-01,modis,P1/P99,NA,19878,0.0100110675118,0.0099607606399,0.0199718281517,0.381565779,0.381930949283,0.0492674580398,0.0398850891208,0.44065056616,0.386951368411,0.381220673845,-63935.7239236,0.55165869981,0.43031270052,0.381585844128,0.381585844128,-60970.9441657,0.469580865077,0.01033786564
DPM,MODIS,AOI-01,modis,P2/P98,NA,19878,0.0200221350236,0.0200221350236,0.0400442700473,0.398797205762,0.398044137091,0.0709170192535,0.053975201098,0.478719232273,0.407032539829,0.398452100607,-75460.1579863,0.55165869981,0.460206289365,0.397699031937,0.397699031937,-69736.5705654,0.435854387913,0.0185129429071
DPM,MODIS,AOI-01,modis,P5/P95,NA,19878,0.0499547238153,0.0500050306872,0.0999597545025,0.436999625443,0.431749281154,0.117105933944,0.0779471459183,0.554182430694,0.452656836279,0.436654520288,-101126.022632,0.55165869981,0.513508436237,0.431404578454,0.431404175999,-86826.4167613,0.379034879677,0.040673994457
DPM,MODIS,AOI-01,modis,P10/P90,NA,19878,0.100010061374,0.100010061374,0.200020122749,0.478161977794,0.463358085451,0.187801584386,0.102625738753,0.644422490915,0.509108372554,0.477816872639,-136741.366983,0.55165869981,0.562714100325,0.463013785207,0.463012980297,-104263.702902,0.324784084188,0.0817083905903
DPM,Sentinel-2,AOI-02,sentinel2,P1/P99,NA,18534,0.0100356102298,0.0100356102298,0.0200712204597,0.62421741644,0.624177262062,0.0641403210216,0.0637416442774,0.180429645144,0.156356314972,0.142970194341,-0.123065091042,0.939412039286,0.180034655445,0.155961308532,0.142930039963,-0.11815333071,0.939230496292,0.000394989698778
DPM,Sentinel-2,AOI-02,sentinel2,P2/P98,NA,18534,0.020017265566,0.020017265566,0.040034531132,0.629533390873,0.629505935272,0.070483193856,0.0693300797163,0.191140594523,0.166113865688,0.148286168774,-0.260361136179,0.939412039286,0.190064611155,0.165003422151,0.148258713173,-0.246211231347,0.938814995029,0.00107598336789
DPM,Sentinel-2,AOI-02,sentinel2,P5/P95,NA,18534,0.0500161864681,0.0500161864681,0.100032372936,0.637838743957,0.638184804769,0.0854353634756,0.0803083848689,0.213176075137,0.186547457324,0.156591521858,-0.567711203559,0.939412039286,0.208707652794,0.181851285013,0.15693758267,-0.502677853299,0.936464172977,0.00446842234327
DPM,Sentinel-2,AOI-02,sentinel2,P10/P90,NA,18534,0.100032372936,0.100032372936,0.200064745872,0.610788537893,0.620515036766,0.13096712845,0.100576003786,0.246924699371,0.21636192321,0.129541315794,-1.10338225355,0.939412039286,0.222199268021,0.192570829729,0.139267814667,-0.703234266619,0.922184762197,0.0247254313505
DPM,Landsat 8/9,AOI-02,landsat,P1/P99,NA,7600,0.00986842105263,0.01,0.0198684210526,0.676265933004,0.676371505061,0.0502964204309,0.0497015351837,0.211473348259,0.191650300956,0.186569616298,-0.911216453454,0.929618872029,0.21109203457,0.191116938034,0.186675188356,-0.904330328401,0.929383840785,0.000381313689103
DPM,Landsat 8/9,AOI-02,landsat,P2/P98,NA,7600,0.0198684210526,0.0198684210526,0.0397368421053,0.677602362906,0.677990932841,0.0566067459547,0.0549113783472,0.218285984103,0.197207960584,0.187906046201,-1.03634001103,0.929618872029,0.217203016972,0.195741471588,0.188294616136,-1.01618462787,0.92882978083,0.0010829671306
DPM,Landsat 8/9,AOI-02,landsat,P5/P95,NA,7600,0.05,0.0498684210526,0.0998684210526,0.663293777713,0.667655392784,0.0825869836644,0.0705811997584,0.233217525038,0.208612584102,0.173597461008,-1.32445400428,0.929618872029,0.225136988709,0.199436462237,0.177959076078,-1.16616881053,0.922301347927,0.00808053632931
