AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched
AOI-01,landsat,R2024-H3,2024,3,10862,10862,0.0012010449610705,0.000405989787641,0.000103434488731,0.3874912352936036,0.6974303947992733,0.0911392305507513,-0.004774774418714,10862,10862,0.0012315546018374,0.0004078002762162,9.375380588811168e-05,0.3559773830021979,0.6786597516539599,0.0895291095608793,-0.0046971107508251,10862,10862,0.0012010449610705,0.000405989787641,0.000103434488731,0.3874912352936036,0.6974303947992733,0.0911392305507513,-0.004774774418714,10862,10862,0.0012315546018374,0.0004078002762162,9.375380588811168e-05,0.3559773830021979,0.6786597516539599,0.0895291095608793,-0.0046971107508251,3.0509640766900005e-05,3.0509640766900005e-05,1.8104885752000298e-06,1.8104885752000298e-06,-9.680682842888328e-06,-9.680682842888328e-06
AOI-01,landsat,R2025-H1,2025,1,9601,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,9601,0.0012556398602863,0.0005691589490301,0.0001423074911904,0.3871219734456954,0.6944344282887936,0.0892204448293308,-0.0045421004689355,9601,9601,0.0012350993319251,0.0005652125927523,0.0001485423577904,0.4070096353521019,0.7054465839794869,0.0903293640169575,-0.0045959835248868,9601,9601,0.0012556398602863,0.0005691589490301,0.0001423074911904,0.3871219734456954,0.6944344282887936,0.0892204448293308,-0.0045421004689355,2.0540528361199942e-05,2.0540528361199942e-05,3.94635627780002e-06,3.94635627780002e-06,-6.234866599999993e-06,-6.234866599999993e-06
AOI-01,landsat,R2025-H2,2025,2,9601,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,9601,0.0012414301351887,0.0005641872999483,0.0001469742176593,0.4009150216957847,0.6996594136003649,0.0942731014850666,-0.0048331782287208,9601,9601,0.0012197222847369,0.0005606587153263,0.000155080683469,0.4216832378190176,0.7103775184797825,0.0957831525544123,-0.0049079845901227,9601,9601,0.0012414301351887,0.0005641872999483,0.0001469742176593,0.4009150216957847,0.6996594136003649,0.0942731014850666,-0.0048331782287208,2.170785045180006e-05,2.170785045180006e-05,3.528584621999937e-06,3.528584621999937e-06,-8.106465809699996e-06,-8.106465809699996e-06
AOI-01,landsat,R2025-H3,2025,3,9601,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,9601,0.0012458198287986,0.0005464311657156,0.0001181919137019,0.3966708054352613,0.7028450135955605,0.0911799838810393,-0.004694343806678,9601,9601,0.0012242071713751,0.0005445588729091,0.0001280504410593,0.4174225079664491,0.712916071686131,0.0926895168702124,-0.0047665717799453,9601,9601,0.0012458198287986,0.0005464311657156,0.0001181919137019,0.3966708054352613,0.7028450135955605,0.0911799838810393,-0.004694343806678,2.1612657423500034e-05,2.1612657423500034e-05,1.8722928064999513e-06,1.8722928064999513e-06,-9.858527357400003e-06,-9.858527357400003e-06
AOI-01,modis,R2024-H1,2024,1,19776,19776,0.0013635053795138,0.0004234003438508,0.0001627015204742,0.2383112492910843,0.5667681220013033,0.0818142507972776,-0.0045980798463686,19776,19776,0.001360684446864,0.000434166024377,0.0001787347244574,0.24145967836557,0.5619676371423119,0.087859728655022,-0.0049583672628019,19776,19776,0.0013635053795138,0.0004234003438508,0.0001627015204742,0.2383112492910843,0.5667681220013033,0.0818142507972776,-0.0045980798463686,19776,19776,0.001360684446864,0.000434166024377,0.0001787347244574,0.24145967836557,0.5619676371423119,0.087859728655022,-0.0049583672628019,-2.8209326498000037e-06,-2.8209326498000037e-06,1.076568052619999e-05,1.076568052619999e-05,1.60332039832e-05,1.60332039832e-05
AOI-01,modis,R2024-H2,2024,2,19776,19776,0.0013673184031955,0.0004476709888295,0.0001903319223997,0.2340451888010459,0.557118833820118,0.082848814972403,-0.0046182593517428,19776,19776,0.0013699771734454,0.0004550178235261,0.0001996173155857,0.2310634723848862,0.5497033839924611,0.0856000712386938,-0.0047814266511862,19776,19776,0.0013673184031955,0.0004476709888295,0.0001903319223997,0.2340451888010459,0.557118833820118,0.082848814972403,-0.0046182593517428,19776,19776,0.0013699771734454,0.0004550178235261,0.0001996173155857,0.2310634723848862,0.5497033839924611,0.0856000712386938,-0.0047814266511862,2.6587702499001036e-06,2.6587702499001036e-06,7.346834696600013e-06,7.346834696600013e-06,9.285393186000024e-06,9.285393186000024e-06
AOI-01,modis,R2024-H3,2024,3,19776,19776,0.0013582031236274,0.0004085943086886,0.000147361225361,0.2442236808051527,0.5756099231205292,0.0828906891629835,-0.0046920175936095,19776,19776,0.0013619534448302,0.000412868298283,0.0001521642257883,0.2400441628286266,0.5675284631779917,0.0844307506042564,-0.0047861251260951,19776,19776,0.0013582031236274,0.0004085943086886,0.000147361225361,0.2442236808051527,0.5756099231205292,0.0828906891629835,-0.0046920175936095,19776,19776,0.0013619534448302,0.000412868298283,0.0001521642257883,0.2400441628286266,0.5675284631779917,0.0844307506042564,-0.0047861251260951,3.750321202799882e-06,3.750321202799882e-06,4.273989594400028e-06,4.273989594400028e-06,4.803000427299988e-06,4.803000427299988e-06
AOI-01,modis,R2025-H1,2025,1,19714,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,19714,0.0014617486054493,0.0004870388033201,-1.5199265853920433e-05,0.2851345106359253,0.6656379940232189,0.0664854300575867,-0.0037040321884563,19714,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,19714,0.0014617486054493,0.0004870388033201,-1.5199265853920433e-05,0.2851345106359253,0.6656379940232189,0.0664854300575867,-0.0037040321884563,-4.97537374873e-05,-4.97537374873e-05,1.1362459968700014e-05,1.1362459968700014e-05,4.6986576483138245e-05,4.6986576483138245e-05
AOI-01,modis,R2025-H2,2025,2,19714,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,19714,0.001427966827012,0.00049568957499,1.9162182154484727e-05,0.3177945378173176,0.672110477316157,0.0771793117882816,-0.0043310801215723,19714,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,19714,0.001427966827012,0.00049568957499,1.9162182154484727e-05,0.3177945378173176,0.672110477316157,0.0771793117882816,-0.0043310801215723,-3.2599208126899955e-05,-3.2599208126899955e-05,9.468893810099933e-06,9.468893810099933e-06,3.613168184745057e-05,3.613168184745057e-05
AOI-01,modis,R2025-H3,2025,3,19714,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,19714,0.0014234360151635,0.0005089603342774,3.98302692231742e-05,0.3221168244229837,0.667738880856016,0.0789007074036615,-0.004406187323734,19714,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,19714,0.0014234360151635,0.0005089603342774,3.98302692231742e-05,0.3221168244229837,0.667738880856016,0.0789007074036615,-0.004406187323734,-2.0214910278899953e-05,-2.0214910278899953e-05,8.990642329599944e-06,8.990642329599944e-06,2.8014174035997764e-05,2.8014174035997764e-05
