AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched
AOI-01,modis,W2022,19714,0.0014037569395782,0.0005410276030743,9.589164980583136e-05,0.3407307982564471,0.6654250687974319,0.0850845063686924,-0.0047054379780037,19714,0.0014118911251304,0.0005415058366252,9.244002009370848e-05,0.3330682821459058,0.6593666731021088,0.0841130514377709,-0.004652172416618,19714,0.0014037569395782,0.0005410276030743,9.589164980583136e-05,0.3407307982564471,0.6654250687974319,0.0850845063686924,-0.0047054379780037,19714,0.0014118911251304,0.0005415058366252,9.244002009370848e-05,0.3330682821459058,0.6593666731021088,0.0841130514377709,-0.004652172416618,8.134185552200043e-06,8.134185552200043e-06,4.782335508999105e-07,4.782335508999105e-07,-3.4516297121228777e-06,-3.4516297121228777e-06
AOI-01,modis,W2023,19714,0.0014088676538546,0.0004990877590444,3.539408937355919e-05,0.3359216039213991,0.6796639317879669,0.0818142507972776,-0.0045980798463686,19714,0.0013973866886078,0.0005043639318958,5.338746494129846e-05,0.3467007507581136,0.6773100217015262,0.087859728655022,-0.0049583672628019,19714,0.0014088676538546,0.0004990877590444,3.539408937355919e-05,0.3359216039213991,0.6796639317879669,0.0818142507972776,-0.0045980798463686,19714,0.0013973866886078,0.0005043639318958,5.338746494129846e-05,0.3467007507581136,0.6773100217015262,0.087859728655022,-0.0049583672628019,-1.148096524680015e-05,-1.148096524680015e-05,5.27617285139999e-06,5.27617285139999e-06,1.799337556773927e-05,1.799337556773927e-05
AOI-01,modis,W2024,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,0.0014617486054493,0.0004870388033201,-1.5199265853920433e-05,0.2851345106359253,0.6656379940232189,0.0664854300575867,-0.0037040321884563,19714,0.0015115023429366,0.0004756763433514,-6.218584233705868e-05,0.2356423707434934,0.6575709350028794,0.0512280393992202,-0.0028064612349404,19714,0.0014617486054493,0.0004870388033201,-1.5199265853920433e-05,0.2851345106359253,0.6656379940232189,0.0664854300575867,-0.0037040321884563,-4.97537374873e-05,-4.97537374873e-05,1.1362459968700014e-05,1.1362459968700014e-05,4.6986576483138245e-05,4.6986576483138245e-05
AOI-01,modis,W2022_2023,19714,0.0014073432227546,0.0005183907871877,6.230365546306616e-05,0.3373579263000901,0.6722940262195224,0.082848814972403,-0.0046182593517428,19714,0.0014054849044593,0.0005225059720533,7.17018486375943e-05,0.3391067347946436,0.6679461164118274,0.0856000712386938,-0.0047814266511862,19714,0.0014073432227546,0.0005183907871877,6.230365546306616e-05,0.3373579263000901,0.6722940262195224,0.082848814972403,-0.0046182593517428,19714,0.0014054849044593,0.0005225059720533,7.17018486375943e-05,0.3391067347946436,0.6679461164118274,0.0856000712386938,-0.0047814266511862,-1.8583182953000373e-06,-1.8583182953000373e-06,4.115184865599998e-06,4.115184865599998e-06,9.398193174528139e-06,9.398193174528139e-06
AOI-01,modis,W2023_2024,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,0.001427966827012,0.00049568957499,1.9162182154484727e-05,0.3177945378173176,0.672110477316157,0.0771793117882816,-0.0043310801215723,19714,0.0014605660351389,0.0004862206811799,-1.6969499692965838e-05,0.2862907104643526,0.6699813784261468,0.0654850316583946,-0.0036407426776133,19714,0.001427966827012,0.00049568957499,1.9162182154484727e-05,0.3177945378173176,0.672110477316157,0.0771793117882816,-0.0043310801215723,-3.2599208126899955e-05,-3.2599208126899955e-05,9.468893810099933e-06,9.468893810099933e-06,3.613168184745057e-05,3.613168184745057e-05
AOI-01,modis,W2022_2024,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,0.0014234360151635,0.0005089603342774,3.98302692231742e-05,0.3221168244229837,0.667738880856016,0.0789007074036615,-0.004406187323734,19714,0.0014436509254424,0.0004999696919478,1.1816095187176434e-05,0.3027262070806158,0.6687899265588954,0.0706107227935935,-0.0039203365668231,19714,0.0014234360151635,0.0005089603342774,3.98302692231742e-05,0.3221168244229837,0.667738880856016,0.0789007074036615,-0.004406187323734,-2.0214910278899953e-05,-2.0214910278899953e-05,8.990642329599944e-06,8.990642329599944e-06,2.8014174035997764e-05,2.8014174035997764e-05
AOI-01,sentinel2,W2022,19409,0.0013356244417826,0.0002990082224308,-0.0002150939735895,0.4012298254677032,0.8399322368496508,0.0773033446520107,-0.0025394257306161,19409,0.001411443910153,0.0003075223163575,-0.0002277833545038,0.3313194484907152,0.8331868768243437,0.0723458242565722,-0.0023540792783954,19409,0.0013356244417826,0.0002990082224308,-0.0002150939735895,0.4012298254677032,0.8399322368496508,0.0773033446520107,-0.0025394257306161,19409,0.001411443910153,0.0003075223163575,-0.0002277833545038,0.3313194484907152,0.8331868768243437,0.0723458242565722,-0.0023540792783954,7.581946837039995e-05,7.581946837039995e-05,8.514093926700016e-06,8.514093926700016e-06,-1.2689380914299994e-05,-1.2689380914299994e-05
AOI-01,sentinel2,W2023,19409,0.0013354750127916,0.0002968420766248,-0.0002184730476986,0.4013637981850003,0.8398846313982713,0.0780082603585306,-0.0025849262746615,19409,0.0013988502054349,0.0003033292286173,-0.0002294988832999,0.3431989091540668,0.8338967730611416,0.0764196710623058,-0.0025226223923841,19409,0.0013354750127916,0.0002968420766248,-0.0002184730476986,0.4013637981850003,0.8398846313982713,0.0780082603585306,-0.0025849262746615,19409,0.0013988502054349,0.0003033292286173,-0.0002294988832999,0.3431989091540668,0.8338967730611416,0.0764196710623058,-0.0025226223923841,6.337519264330003e-05,6.337519264330003e-05,6.487151992500028e-06,6.487151992500028e-06,-1.1025835601300024e-05,-1.1025835601300024e-05
AOI-01,sentinel2,W2024,19409,0.0014091877610971,0.0003313765039227,-0.0001974692435317,0.3334554699433572,0.82993450311845,0.0578036248250789,-0.0017254168767995,19409,0.00144116833458,0.0003335731490771,-0.0002026719459004,0.3028586133668938,0.8193114344240175,0.0606354821449003,-0.0018160635498693,19409,0.0014091877610971,0.0003313765039227,-0.0001974692435317,0.3334554699433572,0.82993450311845,0.0578036248250789,-0.0017254168767995,19409,0.00144116833458,0.0003335731490771,-0.0002026719459004,0.3028586133668938,0.8193114344240175,0.0606354821449003,-0.0018160635498693,3.1980573482900086e-05,3.1980573482900086e-05,2.1966451544e-06,2.1966451544e-06,-5.202702368700007e-06,-5.202702368700007e-06
AOI-01,sentinel2,W2022_2023,19409,0.001335780547216,0.0002980362334368,-0.000216685036802,0.4010898508804336,0.8399310431333413,0.0775695382600132,-0.0025580623026377,19409,0.0014066038777524,0.0003057137855961,-0.0002287172046831,0.3358975779137616,0.8335639739104711,0.0739497394767082,-0.0024213531805391,19409,0.001335780547216,0.0002980362334368,-0.000216685036802,0.4010898508804336,0.8399310431333413,0.0775695382600132,-0.0025580623026377,19409,0.0014066038777524,0.0003057137855961,-0.0002287172046831,0.3358975779137616,0.8335639739104711,0.0739497394767082,-0.0024213531805391,7.082333053640014e-05,7.082333053640014e-05,7.677552159299987e-06,7.677552159299987e-06,-1.2032167881100009e-05,-1.2032167881100009e-05
