sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,slope,intercept,train_n,train_block_n,history_length_rank_by_global_RMSE
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,20256,39,0.04002219403667385,0.03149873150648683,-0.008592155694392995,0.8349875435965004,0.9189381442753424,20256,0.958794174558208,-0.09651557567545455,40512,39,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,modis,2022;2023;2024,2025,R2025-H3,3,20256,39,0.039507932464609805,0.0311795790203667,-0.006579829909269168,0.8392009241772134,0.9189381442753416,20256,0.9752383787223315,-0.1057153983201129,60768,39,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,sentinel2,2023,2024,R2024-H1,1,15819,39,0.06195879704205142,0.04838205727919556,0.0012095943697210938,0.5533298137635385,0.7591731831827759,15819,0.707277333121073,0.11063274980962767,20246,39,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,sentinel2,2022;2023,2024,R2024-H2,2,15819,39,0.061625151976880364,0.0482686752266148,0.0021346058500921316,0.5581274551887887,0.7591706043119126,15819,0.6930856764475416,0.11976048729311878,38486,39,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,R2024-H3,3,15819,39,0.062407772065704116,0.04923844587240268,0.011376970264674099,0.5468329038170205,0.759163345054446,15819,0.6830017839337635,0.13483239050191526,58460,39,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,sentinel2,2024,2025,R2025-H1,1,19233,39,0.0657804286961394,0.05366386427684627,-0.030175287594914984,0.5492768605473173,0.8066261669952048,19233,0.5891133459720407,0.1777208634126911,15819,39,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,sentinel2,2023;2024,2025,R2025-H2,2,19233,39,0.0636924625340405,0.05173767226390861,-0.02650588494890715,0.5774359597685467,0.8066261669952032,19233,0.6589835714426353,0.13883223549832607,36065,39,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-00,sentinel2,2022;2023;2024,2025,R2025-H3,3,19233,39,0.06351907062745758,0.05157105451348397,-0.026067722528482776,0.5797335457065202,0.8066261669952041,19233,0.6639249242787757,0.13626061451539573,54305,39,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,landsat,2023,2024,R2024-H1,1,19872,35,0.001167263452443233,0.00043329393839509244,0.00022542268807187335,0.4502763445266329,0.7349565179115117,19872,0.1095402120280271,-0.0056856026415990375,19878,35,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,landsat,2022;2023,2024,R2024-H2,2,19872,35,0.0011817737260908703,0.0003813881692805187,0.0001546346218398443,0.4365241456741199,0.7452122277692741,19872,0.09823332194897152,-0.0051511547690540355,39027,35,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,R2024-H3,3,19872,35,0.0011809444966472103,0.00035918725558190673,0.0001280057962282033,0.43731463005897453,0.7532417502327515,19872,0.09662792894359894,-0.005107224644724585,50177,35,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,landsat,2024,2025,R2025-H1,1,14738,35,0.001375221648064254,0.0006170496079467353,0.0001349960854972197,0.35245285149110284,0.6404183852649107,14738,0.10080825874284369,-0.005165141170417688,19872,35,3.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,landsat,2023;2024,2025,R2025-H2,2,14738,35,0.0013650952252453096,0.0006097352173020438,0.0001351132243413226,0.3619541472415132,0.6447416215787831,14738,0.10532814950214119,-0.00543241236231149,39750,35,1.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,R2025-H3,3,14738,35,0.001372422338251498,0.0005738149403587615,7.480297583573888e-05,0.3550863763471589,0.6505171709492424,14738,0.09869899820912358,-0.0051348132014611084,58899,35,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,modis,2023,2024,R2024-H1,1,19878,35,0.0013786732482322923,0.00046091235754468164,0.00020068261519353616,0.23288816930172695,0.5602291444857145,19878,0.08499479997597868,-0.004755377108064176,19878,35,2.0
non_overlapping_temporal_composition,primary_full,rolling_origin,AOI-01,modis,2022;2023,2024,R2024-H2,2,19878,35,0.0013800483780977775,0.0004921620121813846,0.00023877468116969812,0.2313571256356295,0.5529276202179613,19878,0.0891504755802703,-0.004957849780149061,39756,35,3.0
