sensitivity_name,variant,sensor,AOI,primary_n,sensitivity_n,matched_n,retention_fraction,primary_RMSE,sensitivity_RMSE,delta_RMSE_operational,primary_matched_RMSE,sensitivity_matched_RMSE,delta_RMSE_matched,delta_MAE,delta_Bias,delta_slope,delta_intercept,primary_history,sensitivity_history,history_changed,rolling_origin_direction_changed,block_contrast_direction_changes,delta_NDVI_mean,delta_NDVI_abs_mean,delta_NDVI_abs_max,validation_status
aggregation_order,reflectance_first,sentinel2,AOI-02,81120,81120,81120,1.0,0.0584417571152951,0.0588955809609376,0.00045382384564250644,0.0584417571152951,0.0588955809609376,0.00045382384564250644,0.0005399685585803018,-0.0003627389560712001,-0.012769248843646608,0.007717439482721099,W2022_2024,W2022_2024,False,False,0,-0.001624172997428564,0.006863621447471391,0.17691069841384888,PASS
aggregation_order,reflectance_first,sentinel2,AOI-03,93363,93363,93363,1.0,0.0395187606541772,0.0394312533780844,-8.750727609280196e-05,0.0395187606541772,0.0394312533780844,-8.750727609280196e-05,-0.0003441092571269018,0.00020086625098910023,-0.00044973814681303903,0.0008780002303427001,W2022,W2022,False,True,0,-0.0007381661557325518,0.0035662701236377514,0.19211921095848078,PASS
landsat_aerosol_qa,exclude_high_aerosol,landsat,AOI-00,20251,20233,20233,0.9991111550046912,0.0476226610050057,0.0464217673363704,-0.0012008936686352,0.0476296384578636,0.0464217673363704,-0.0012078711214931,-0.0015443204354691,0.0009378815363556,0.1054093051232344,-0.0766210299007248,W2023,W2023,False,False,1,,,,PASS
landsat_aerosol_qa,exclude_high_aerosol,landsat,AOI-01,14738,10301,10301,0.6989415117383634,0.0013556186888521,0.0012948349151445,-6.078377370759996e-05,0.0011836854089321,0.0012948349151445,0.0001111495062124,4.028463085335265e-06,-2.640068386828583e-05,-0.0144604598892151,0.0007661077968656,W2023,W2023,False,True,0,,,,PASS
landsat_aerosol_qa,exclude_high_aerosol,landsat,AOI-02,7600,5083,5083,0.6688157894736843,0.0564231055150082,0.0672689816177348,0.0108458761027265,0.0523107713324637,0.0672689816177348,0.014958210285271,0.0050383117023626,0.0165703360453025,-0.0065269789080595,-0.0047150725600861,W2022,W2022_2024,True,False,3,,,,PASS
landsat_aerosol_qa,exclude_high_aerosol,landsat,AOI-03,14402,13996,13996,0.9718094709068184,0.0352532708179777,0.0349782734244332,-0.0002749973935444,0.0347957469690995,0.0349782734244332,0.0001825264553337,-0.0001323797753002,0.0010903241397422,-0.0063151454225044,0.0007292932096231,W2022,W2022,False,True,1,,,,PASS
landsat_aerosol_qa,primary_no_aerosol_filter,landsat,AOI-00,20251,20251,20251,1.0,0.0476226610050057,0.0476226610050057,0.0,0.0476226610050057,0.0476226610050057,0.0,0.0,0.0,0.0,0.0,W2023,W2023,False,False,0,,,,PASS
landsat_aerosol_qa,primary_no_aerosol_filter,landsat,AOI-01,14738,14738,14738,1.0,0.0013556186888521,0.0013556186888521,0.0,0.0013556186888521,0.0013556186888521,0.0,0.0,0.0,0.0,0.0,W2023,W2023,False,False,0,,,,PASS
landsat_aerosol_qa,primary_no_aerosol_filter,landsat,AOI-02,7600,7600,7600,1.0,0.0564231055150082,0.0564231055150082,0.0,0.0564231055150082,0.0564231055150082,0.0,0.0,0.0,0.0,0.0,W2022,W2022,False,False,0,,,,PASS
landsat_aerosol_qa,primary_no_aerosol_filter,landsat,AOI-03,14402,14402,14402,1.0,0.0352532708179777,0.0352532708179777,0.0,0.0352532708179777,0.0352532708179777,0.0,0.0,0.0,0.0,0.0,W2022,W2022,False,False,0,,,,PASS
